time,TP9,AF7,AF8,TP10,Right AUX
1690421345.8286614,-75.68359375,-58.10546875,-38.0859375,-19.53125,0.0
1690421345.8325615,150.390625,-64.453125,-39.55078125,-36.62109375,0.0
1690421345.8364615,-13.671875,-50.29296875,-43.9453125,-34.66796875,0.0
1690421345.8403616,-240.234375,-38.57421875,-37.109375,-37.59765625,0.0
1690421345.8442616,-154.296875,-37.59765625,-41.015625,-9.765625,0.0
1690421345.8481617,145.01953125,-37.109375,-44.921875,-7.8125,0.0
1690421345.8520615,92.28515625,-47.36328125,-46.38671875,-27.34375,0.0
1690421345.8559616,-188.4765625,-55.6640625,-57.12890625,-37.59765625,0.0
1690421345.8598616,-166.9921875,-54.6875,-54.6875,-34.1796875,0.0
1690421345.8637617,84.9609375,-41.50390625,-52.734375,-27.34375,0.0
1690421345.8676617,158.203125,-16.6015625,-58.59375,-50.29296875,0.0
1690421345.8715618,-121.09375,-21.97265625,-49.8046875,-76.171875,0.0
1690421345.875543,-182.12890625,-36.62109375,-49.31640625,-39.0625,0.0
1690421345.8794432,19.53125,-22.94921875,-77.63671875,-47.8515625,0.0
1690421345.8833432,221.6796875,-15.13671875,-93.26171875,-59.08203125,0.0
1690421345.8872433,-40.52734375,-26.3671875,-72.75390625,-44.43359375,0.0
1690421345.891143,-193.359375,-30.76171875,-62.98828125,-59.08203125,0.0
1690421345.8950431,-23.92578125,-33.69140625,-60.05859375,-58.10546875,0.0
1690421345.8989432,211.9140625,-41.015625,-64.94140625,-2.44140625,0.0
1690421345.9028432,56.15234375,-43.45703125,-70.80078125,-11.23046875,0.0
1690421345.9067433,-169.921875,-29.78515625,-62.5,-45.41015625,0.0
1690421345.9106433,-113.76953125,-20.99609375,-63.4765625,-33.69140625,0.0
1690421345.9145434,156.25,-31.25,-58.59375,-24.90234375,0.0
1690421345.9184432,126.953125,-30.76171875,-46.38671875,-87.890625,0.0
1690421345.9224212,-147.4609375,-23.92578125,-51.7578125,-67.3828125,0.0
1690421345.9263213,-131.8359375,-27.34375,-53.22265625,-14.16015625,0.0
1690421345.9302213,108.3984375,-32.71484375,-53.7109375,-7.8125,0.0
1690421345.9341214,201.66015625,-29.78515625,-67.3828125,-3.41796875,0.0
1690421345.9380214,-81.54296875,-31.25,-62.5,-10.7421875,0.0
1690421345.9419212,-160.64453125,-30.2734375,-45.41015625,-13.18359375,0.0
1690421345.9458213,21.484375,-37.109375,-37.109375,-22.4609375,0.0
1690421345.9497213,230.46875,-34.66796875,-59.5703125,-25.87890625,0.0
1690421345.9536214,5.859375,-27.83203125,-56.15234375,-3.41796875,0.0
