time,TP9,AF7,AF8,TP10,Right AUX
1686009814.3980687,-2.44140625,-52.24609375,-71.2890625,-13.671875,0.0
1686009814.4019725,5.37109375,-49.31640625,-71.77734375,-9.27734375,0.0
1686009814.4058764,-3.90625,-41.9921875,-69.3359375,-21.97265625,0.0
1686009814.4097803,8.7890625,-41.50390625,-72.265625,-13.671875,0.0
1686009814.4136841,18.5546875,-41.9921875,-70.80078125,-6.34765625,0.0
1686009814.417588,6.8359375,-43.9453125,-64.453125,-11.71875,0.0
1686009814.4214919,7.32421875,-41.015625,-63.96484375,-17.08984375,0.0
1686009814.4253957,16.11328125,-37.109375,-62.98828125,-11.23046875,0.0
1686009814.4292996,35.15625,-43.9453125,-65.91796875,11.71875,0.0
1686009814.4332035,16.11328125,-53.22265625,-65.4296875,9.765625,0.0
1686009814.4371073,-10.25390625,-52.734375,-63.96484375,-19.04296875,0.0
1686009814.4410112,3.41796875,-48.828125,-63.96484375,-20.99609375,0.0
1686009814.4449651,31.25,-43.45703125,-59.08203125,5.859375,0.0
1686009814.448869,27.34375,-39.55078125,-59.08203125,5.37109375,0.0
1686009814.4527729,-13.671875,-47.8515625,-62.98828125,-16.6015625,0.0
1686009814.4566767,-13.671875,-53.22265625,-58.10546875,-14.6484375,0.0
1686009814.4605806,3.90625,-47.36328125,-51.26953125,-11.71875,0.0
1686009814.4644845,4.8828125,-46.38671875,-55.6640625,-13.671875,0.0
1686009814.4683883,-14.6484375,-50.78125,-60.546875,-30.76171875,0.0
1686009814.4722922,-14.16015625,-54.19921875,-55.17578125,-25.390625,0.0
1686009814.476196,0.0,-60.546875,-51.26953125,0.0,0.0
1686009814.4801,2.44140625,-60.05859375,-54.6875,-2.9296875,0.0
1686009814.4840038,-8.30078125,-52.24609375,-55.6640625,-20.5078125,0.0
1686009814.4879076,-7.8125,-47.36328125,-48.33984375,-20.99609375,0.0
1686009814.4918592,-1.46484375,-50.29296875,-51.7578125,-19.04296875,0.0
1686009814.495763,5.859375,-51.26953125,-60.05859375,-8.7890625,0.0
1686009814.499667,3.41796875,-53.22265625,-60.05859375,-9.765625,0.0
1686009814.5035708,-0.48828125,-50.78125,-55.6640625,-17.578125,0.0
1686009814.5074747,4.39453125,-51.7578125,-52.734375,1.46484375,0.0
1686009814.5113785,16.11328125,-56.15234375,-57.6171875,13.671875,0.0
1686009814.5152824,19.04296875,-53.22265625,-54.19921875,5.859375,0.0
1686009814.5191863,0.0,-51.7578125,-42.96875,-9.765625,0.0
1686009814.5230901,-6.34765625,-48.33984375,-42.96875,-13.671875,0.0
1686009814.526994,10.7421875,-38.0859375,-40.52734375,-5.859375,0.0
1686009814.5308979,11.23046875,-42.48046875,-45.8984375,-9.765625,0.0
1686009814.5348017,-21.97265625,-57.12890625,-52.734375,-33.69140625,0.0
1686009814.538751,-28.3203125,-54.19921875,-47.8515625,-36.62109375,0.0
1686009814.5426548,-12.6953125,-53.22265625,-48.828125,-27.83203125,0.0
1686009814.5465586,2.44140625,-62.5,-54.19921875,-12.6953125,0.0
1686009814.5504625,-10.25390625,-66.40625,-54.6875,-18.06640625,0.0
1686009814.5543664,-25.390625,-67.87109375,-56.640625,-27.83203125,0.0
1686009814.5582702,-12.6953125,-59.08203125,-61.03515625,-21.484375,0.0
1686009814.562174,5.37109375,-49.31640625,-52.734375,-9.765625,0.0
1686009814.566078,-0.9765625,-55.6640625,-50.78125,-11.23046875,0.0
1686009814.5699818,-27.83203125,-62.01171875,-57.6171875,-41.50390625,0.0
1686009814.5738854,-20.5078125,-54.6875,-51.7578125,-36.62109375,0.0
1686009814.5777893,-6.8359375,-55.6640625,-50.78125,-21.484375,0.0
1686009814.5816932,-5.859375,-66.40625,-50.29296875,-14.16015625,0.0
1686009814.585644,-29.78515625,-67.3828125,-53.7109375,-26.85546875,0.0
1686009814.5895479,-36.1328125,-66.89453125,-60.05859375,-37.59765625,0.0
1686009814.5934517,-18.5546875,-67.3828125,-57.6171875,-22.94921875,0.0
1686009814.5973556,-9.765625,-63.4765625,-51.26953125,-12.6953125,0.0
1686009814.6012595,-24.4140625,-56.640625,-52.734375,-27.34375,0.0
1686009814.6051633,-36.1328125,-56.640625,-58.59375,-35.15625,0.0
1686009814.6090672,-26.3671875,-60.546875,-52.734375,-19.04296875,0.0
1686009814.612971,-15.625,-60.05859375,-48.33984375,-5.37109375,0.0
1686009814.616875,-27.34375,-57.12890625,-40.52734375,-13.671875,0.0
1686009814.6207788,-33.203125,-55.6640625,-36.62109375,-20.99609375,0.0
1686009814.6246827,-24.4140625,-55.6640625,-46.38671875,-24.4140625,0.0
1686009814.6285865,-16.6015625,-57.12890625,-53.7109375,-16.11328125,0.0
1686009814.6325307,-15.13671875,-55.17578125,-45.41015625,-10.25390625,0.0
1686009814.6364346,-32.2265625,-59.5703125,-41.50390625,-24.4140625,0.0
