time,TP9,AF7,AF8,TP10,Right AUX
1686971425.5664768,23.4375,-47.36328125,-73.2421875,3.90625,0.0
1686971425.5703807,11.71875,-42.48046875,-63.96484375,12.20703125,0.0
1686971425.5742843,-44.921875,-36.1328125,7.8125,-18.5546875,0.0
1686971425.5781882,-41.9921875,-27.83203125,-10.25390625,-25.390625,0.0
1686971425.582092,-6.34765625,-29.296875,-51.7578125,-12.20703125,0.0
1686971425.585996,-0.9765625,-34.66796875,-36.1328125,-19.53125,0.0
1686971425.5898995,-53.22265625,-36.1328125,-51.26953125,-24.4140625,0.0
1686971425.5938034,-47.36328125,-32.2265625,-87.890625,-18.5546875,0.0
1686971425.5977073,-11.71875,-48.828125,-60.546875,-9.27734375,0.0
1686971425.6016111,6.34765625,-55.17578125,12.6953125,1.953125,0.0
1686971425.6055148,-30.2734375,-29.78515625,6.34765625,-9.765625,0.0
1686971425.6094186,-43.45703125,-41.50390625,-74.70703125,-18.06640625,0.0
1686971425.6133606,-13.671875,-54.19921875,-148.4375,-3.90625,0.0
1686971425.6172645,18.06640625,-21.97265625,27.34375,3.90625,0.0
1686971425.6211681,-13.18359375,-12.20703125,37.109375,-7.8125,0.0
1686971425.625072,-44.43359375,-17.578125,-82.03125,-12.6953125,0.0
1686971425.6289759,-6.8359375,-9.765625,3.90625,-6.34765625,0.0
1686971425.6328797,24.90234375,-21.97265625,12.20703125,1.46484375,0.0
1686971425.6367834,13.671875,-46.38671875,-42.96875,6.8359375,0.0
1686971425.6406872,-47.8515625,-57.6171875,-79.1015625,-10.7421875,0.0
1686971425.644591,-47.36328125,-47.36328125,-53.22265625,-20.01953125,0.0
1686971425.648495,-6.8359375,-28.80859375,53.7109375,-14.16015625,0.0
1686971425.6523988,19.04296875,-20.01953125,70.80078125,-18.06640625,0.0
1686971425.6563025,-29.78515625,-31.73828125,-69.82421875,-23.4375,0.0
1686971425.6602402,-41.50390625,-37.109375,-53.22265625,-18.06640625,0.0
1686971425.664144,5.859375,-22.94921875,61.03515625,-7.32421875,0.0
1686971425.668048,27.83203125,-24.90234375,49.31640625,-2.9296875,0.0
1686971425.6719518,-19.53125,-35.64453125,-115.234375,-13.671875,0.0
1686971425.6758554,-50.29296875,-44.43359375,-83.0078125,-25.87890625,0.0
1686971425.6797593,-19.53125,-48.33984375,17.578125,-24.4140625,0.0
1686971425.6836631,21.484375,-37.109375,-3.90625,-7.8125,0.0
1686971425.687567,1.953125,-22.4609375,-69.82421875,6.34765625,0.0
1686971425.6914709,-47.8515625,-20.99609375,-20.99609375,-16.11328125,0.0
1686971425.6953745,-23.92578125,-18.06640625,68.359375,-23.4375,0.0
1686971425.6992784,35.64453125,-5.37109375,25.390625,0.0,0.0
1686971425.7031822,33.69140625,-5.37109375,-28.80859375,0.9765625,0.0
1686971425.7071178,-39.55078125,-41.9921875,-12.6953125,-25.390625,0.0
1686971425.7110214,-33.69140625,-83.49609375,26.85546875,-35.64453125,0.0
1686971425.7149253,4.8828125,-74.21875,-12.20703125,-25.390625,0.0
1686971425.7188292,16.11328125,-44.921875,-48.33984375,-19.53125,0.0
1686971425.722733,-35.15625,-24.90234375,-32.71484375,-29.296875,0.0
1686971425.726637,-52.734375,-13.18359375,-49.8046875,-35.15625,0.0
1686971425.7305405,-8.30078125,-12.20703125,-77.63671875,-20.01953125,0.0
1686971425.7344444,36.62109375,-21.484375,-66.40625,3.41796875,0.0
1686971425.7383482,1.46484375,-22.94921875,17.08984375,5.37109375,0.0
1686971425.742252,-33.203125,-21.484375,9.765625,0.0,0.0
1686971425.7461557,-13.671875,-39.0625,-53.22265625,-3.90625,0.0
1686971425.7500596,9.27734375,-53.7109375,-5.37109375,-12.20703125,0.0
1686971425.7539923,-6.8359375,-45.8984375,10.7421875,-6.34765625,0.0
1686971425.7578962,-46.875,-32.2265625,-70.80078125,-9.765625,0.0
1686971425.7618,-23.92578125,-7.8125,-94.7265625,-7.8125,0.0
1686971425.765704,7.8125,-4.8828125,-10.25390625,-6.34765625,0.0
1686971425.7696078,4.39453125,-19.53125,0.9765625,-7.8125,0.0
1686971425.7735114,-50.29296875,-24.90234375,-112.3046875,-20.01953125,0.0
1686971425.7774153,-48.828125,-41.9921875,-175.29296875,-26.85546875,0.0
1686971425.7813191,-14.6484375,-50.29296875,-37.59765625,-21.484375,0.0
1686971425.785223,20.99609375,-43.45703125,48.828125,-12.6953125,0.0
1686971425.7891266,-17.08984375,-47.36328125,-50.29296875,-10.7421875,0.0
1686971425.7930305,-46.38671875,-39.55078125,-77.63671875,-14.6484375,0.0
1686971425.7969344,-11.71875,-47.36328125,-22.4609375,-20.5078125,0.0
1686971425.8008657,30.76171875,-36.62109375,13.671875,-12.6953125,0.0
1686971425.8047695,-5.37109375,-12.20703125,-41.9921875,-1.953125,0.0
1686971425.8086734,-58.10546875,-21.484375,-102.05078125,-13.671875,0.0
1686971425.8125772,-34.1796875,-20.01953125,-78.61328125,-21.97265625,0.0
1686971425.8164809,0.9765625,-25.390625,-37.109375,-15.625,0.0
1686971425.8203847,-9.27734375,-55.6640625,-87.40234375,-16.11328125,0.0
1686971425.8242886,-41.015625,-57.6171875,-125.48828125,-13.18359375,0.0
1686971425.8281925,-26.85546875,-26.3671875,-19.04296875,-21.484375,0.0
1686971425.832096,-5.37109375,-16.11328125,10.7421875,-31.73828125,0.0
1686971425.836,-7.32421875,-26.85546875,-62.98828125,-11.23046875,0.0
1686971425.8399038,-66.89453125,-42.48046875,-79.58984375,-11.71875,0.0
1686971425.8438077,-61.5234375,-41.015625,-11.71875,-29.78515625,0.0
1686971425.847752,-20.5078125,-37.109375,-10.7421875,-23.92578125,0.0
1686971425.851656,2.9296875,-41.50390625,-68.84765625,-2.44140625,0.0
1686971425.8555598,-42.96875,-44.921875,-77.1484375,-18.5546875,0.0
1686971425.8594635,-61.03515625,-51.7578125,-73.2421875,-41.015625,0.0
1686971425.8633673,-16.6015625,-38.57421875,-62.01171875,-27.34375,0.0
1686971425.8672712,15.13671875,-24.4140625,-103.515625,-17.08984375,0.0
1686971425.871175,-15.13671875,-33.69140625,-83.0078125,-25.390625,0.0
1686971425.875079,-51.7578125,-41.9921875,-81.0546875,-26.3671875,0.0
1686971425.8789825,-26.85546875,-33.69140625,-125.0,-18.5546875,0.0
1686971425.8828864,3.41796875,-27.83203125,-109.375,-14.16015625,0.0
1686971425.8867903,-10.25390625,-28.3203125,-4.8828125,-13.671875,0.0
1686971425.8906941,-53.7109375,-41.9921875,-20.5078125,-18.5546875,0.0
1686971425.8946366,-25.87890625,-45.41015625,-68.359375,-5.859375,0.0
1686971425.8985405,11.23046875,-39.55078125,-16.6015625,0.48828125,0.0
1686971425.9024441,3.41796875,-38.57421875,5.859375,-9.27734375,0.0
1686971425.906348,-41.50390625,-36.62109375,-69.3359375,-24.90234375,0.0
1686971425.9102519,-30.2734375,-38.57421875,-83.0078125,-24.4140625,0.0
1686971425.9141557,12.6953125,-37.109375,-55.17578125,-22.94921875,0.0
1686971425.9180593,49.8046875,-31.73828125,-0.48828125,-15.13671875,0.0
1686971425.9219632,16.6015625,-21.97265625,3.90625,-8.30078125,0.0
1686971425.925867,-12.6953125,-22.4609375,-113.76953125,-13.18359375,0.0
1686971425.929771,10.7421875,-35.15625,-134.765625,-7.8125,0.0
1686971425.9336748,28.3203125,-33.69140625,-6.8359375,0.0,0.0
1686971425.9375784,-5.37109375,-26.3671875,1.953125,-3.41796875,0.0
1686971425.9415193,-53.7109375,-34.1796875,-95.21484375,-15.625,0.0
1686971425.9454231,-34.1796875,-49.31640625,-48.33984375,-5.859375,0.0
1686971425.949327,4.39453125,-54.19921875,20.01953125,0.0,0.0
1686971425.9532306,-3.90625,-38.57421875,-13.671875,-5.37109375,0.0
1686971425.9571345,-59.5703125,-34.1796875,-103.02734375,-21.484375,0.0
1686971425.9610384,-53.22265625,-35.64453125,-120.60546875,-24.90234375,0.0
1686971425.9649422,-9.765625,-35.15625,-39.0625,-12.20703125,0.0
1686971425.968846,19.53125,-36.1328125,-21.97265625,-13.18359375,0.0
1686971425.9727497,-23.92578125,-41.9921875,-170.8984375,-18.5546875,0.0
1686971425.9766536,-34.1796875,-43.45703125,-72.265625,-24.4140625,0.0
1686971425.9805574,11.23046875,-29.78515625,46.38671875,-10.7421875,0.0
1686971425.9844613,42.96875,-26.3671875,-5.37109375,-2.9296875,0.0
1686971425.9884005,-4.39453125,-29.296875,-90.8203125,-12.20703125,0.0
1686971425.9923043,-45.8984375,-37.59765625,-66.40625,-22.4609375,0.0
1686971425.9962082,-18.06640625,-41.9921875,-20.01953125,-18.5546875,0.0
1686971426.000112,17.08984375,-29.296875,-37.109375,-10.7421875,0.0
1686971426.004016,-6.8359375,-28.3203125,-35.15625,-14.16015625,0.0
1686971426.0079195,-46.875,-36.1328125,-79.58984375,-13.18359375,0.0
1686971426.0118234,-22.94921875,-35.15625,-58.59375,-14.6484375,0.0
1686971426.0157273,12.6953125,-28.3203125,-49.8046875,-6.8359375,0.0
1686971426.0196311,9.765625,-21.484375,-67.87109375,-2.44140625,0.0
1686971426.023535,-49.8046875,-28.80859375,-9.27734375,-33.69140625,0.0
1686971426.0274386,-45.41015625,-33.69140625,0.0,-41.50390625,0.0
1686971426.0313425,-6.34765625,-17.08984375,-28.3203125,-30.2734375,0.0
1686971426.03528,18.5546875,-16.6015625,-6.34765625,-18.06640625,0.0
1686971426.0391839,-25.390625,-33.203125,-15.625,-21.97265625,0.0
1686971426.0430877,-39.0625,-34.1796875,-54.19921875,-19.53125,0.0
1686971426.0469913,-0.9765625,-35.64453125,-98.14453125,-9.765625,0.0
1686971426.0508952,24.90234375,-30.76171875,-11.71875,-10.7421875,0.0
1686971426.054799,-11.71875,-29.296875,-17.08984375,-22.94921875,0.0
1686971426.058703,-49.8046875,-32.2265625,-80.078125,-33.203125,0.0
