time,TP9,AF7,AF8,TP10,Right AUX
1687369131.6666942,33.203125,-459.47265625,-26.3671875,15.13671875,0.0
1687369131.6705794,-33.69140625,229.00390625,-41.50390625,-21.97265625,0.0
1687369131.6744645,-50.29296875,356.4453125,-43.45703125,-24.90234375,0.0
1687369131.6783497,-20.01953125,-31.25,-35.15625,-5.37109375,0.0
1687369131.682235,46.38671875,-301.26953125,-24.4140625,9.27734375,0.0
1687369131.68612,-18.06640625,-203.125,-15.13671875,-14.6484375,0.0
1687369131.6900053,-35.15625,-118.65234375,-21.97265625,-16.6015625,0.0
1687369131.6938906,-33.203125,-145.01953125,-34.1796875,-4.39453125,0.0
1687369131.6977758,38.57421875,-166.50390625,-38.0859375,19.04296875,0.0
1687369131.7016609,3.41796875,-116.69921875,-41.50390625,6.34765625,0.0
1687369131.7055461,-35.64453125,30.76171875,-35.64453125,-25.87890625,0.0
1687369131.7094314,-44.921875,-426.26953125,-24.90234375,-25.87890625,0.0
1687369131.7135408,3.41796875,-638.671875,-29.296875,-2.44140625,0.0
1687369131.717426,14.16015625,-1.953125,-29.296875,-8.7890625,0.0
1687369131.7213113,-56.640625,72.265625,-24.90234375,-30.76171875,0.0
1687369131.7251966,-63.96484375,8.7890625,-29.296875,-32.71484375,0.0
1687369131.7290819,-17.578125,40.0390625,-39.0625,-4.8828125,0.0
1687369131.7329671,37.59765625,-283.69140625,-37.59765625,9.27734375,0.0
1687369131.7368522,-38.0859375,-363.76953125,-27.83203125,-23.92578125,0.0
1687369131.7407374,-59.08203125,-399.90234375,-34.1796875,-27.34375,0.0
1687369131.7446227,-36.62109375,-127.9296875,-33.69140625,-5.37109375,0.0
1687369131.748508,41.015625,14.6484375,-36.1328125,20.99609375,0.0
1687369131.7523932,-19.53125,-313.4765625,-36.62109375,0.48828125,0.0
1687369131.7562785,-50.78125,-342.28515625,-26.85546875,-14.6484375,0.0
1687369131.760376,-49.31640625,-10.7421875,-19.04296875,-11.71875,0.0
1687369131.7642612,19.04296875,-229.98046875,-17.578125,9.27734375,0.0
1687369131.7681465,-4.39453125,-305.17578125,-25.390625,-2.9296875,0.0
1687369131.7720318,-56.15234375,60.05859375,-18.06640625,-21.484375,0.0
1687369131.775917,-47.8515625,240.234375,-10.25390625,-15.13671875,0.0
1687369131.7798023,2.9296875,-178.7109375,-20.5078125,-3.90625,0.0
1687369131.7836876,12.6953125,-818.84765625,-27.83203125,0.9765625,0.0
1687369131.7875729,-51.7578125,-546.38671875,-25.390625,-22.4609375,0.0
1687369131.7914581,-53.7109375,292.96875,-27.83203125,-30.76171875,0.0
1687369131.7953434,-18.5546875,42.96875,-36.62109375,-3.41796875,0.0
1687369131.7992287,38.0859375,-398.4375,-36.62109375,17.08984375,0.0
1687369131.803114,-39.0625,-12.6953125,-35.15625,-14.16015625,0.0
1687369131.8072035,-50.78125,309.5703125,-31.25,-33.203125,0.0
1687369131.811089,-33.203125,42.96875,-30.76171875,-29.296875,0.0
1687369131.8149743,32.2265625,-395.01953125,-29.78515625,-18.06640625,0.0
1687369131.8188596,-15.625,-282.2265625,-22.4609375,-28.3203125,0.0
1687369131.8227448,-41.50390625,79.58984375,-23.92578125,-36.62109375,0.0
1687369131.82663,-47.36328125,-94.23828125,-33.203125,-29.296875,0.0
1687369131.8305154,19.53125,-789.55078125,-34.1796875,5.37109375,0.0
1687369131.8344007,2.44140625,-590.33203125,-21.97265625,-6.8359375,0.0
1687369131.8382862,-59.08203125,232.421875,-27.34375,-41.9921875,0.0
1687369131.8421714,-51.26953125,15.13671875,-29.78515625,-36.62109375,0.0
1687369131.8460567,-3.90625,-444.3359375,-23.92578125,-10.7421875,0.0
1687369131.849942,15.625,-112.3046875,-30.2734375,-12.20703125,0.0
1687369131.8541105,-50.29296875,125.48828125,-26.85546875,-44.921875,0.0
1687369131.8579957,-53.7109375,-36.1328125,-29.296875,-44.43359375,0.0
1687369131.861881,-30.76171875,-83.984375,-32.71484375,-15.625,0.0
1687369131.8657665,38.57421875,-80.56640625,-27.34375,3.90625,0.0
1687369131.8696518,-29.78515625,56.15234375,-22.94921875,-29.296875,0.0
1687369131.873537,-47.36328125,-83.984375,-15.625,-30.76171875,0.0
1687369131.8774226,-29.78515625,-315.91796875,-14.6484375,-14.6484375,0.0
1687369131.8813078,33.203125,-321.77734375,-28.80859375,5.859375,0.0
1687369131.885193,-6.34765625,-104.98046875,-36.1328125,-5.37109375,0.0
1687369131.8890786,-36.62109375,-279.296875,-35.64453125,-30.76171875,0.0
1687369131.892964,-38.57421875,-268.06640625,-35.64453125,-38.0859375,0.0
1687369131.8968492,26.3671875,-19.04296875,-30.76171875,-7.32421875,0.0
1687369131.9010031,19.53125,-185.546875,-30.76171875,-10.7421875,0.0
1687369131.9048886,-56.640625,-136.71875,-33.203125,-37.109375,0.0
1687369131.908774,-55.17578125,177.734375,-30.76171875,-32.71484375,0.0
