time,TP9,AF7,AF8,TP10,Right AUX
1687381494.552707,-103.02734375,-33.203125,-75.1953125,-31.25,0.0
1687381494.5566118,46.38671875,-37.59765625,-68.84765625,-9.27734375,0.0
1687381494.5605164,102.5390625,-34.66796875,-65.4296875,1.953125,0.0
1687381494.5644212,-83.49609375,-37.109375,-73.73046875,-8.30078125,0.0
1687381494.568326,-122.0703125,-41.50390625,-73.73046875,-9.27734375,0.0
1687381494.5722306,0.9765625,-41.9921875,-65.4296875,-9.27734375,0.0
1687381494.5761354,112.79296875,-41.50390625,-64.94140625,-7.8125,0.0
1687381494.5800402,-33.203125,-39.0625,-72.265625,-29.78515625,0.0
1687381494.5839448,-136.23046875,-47.8515625,-70.3125,-34.1796875,0.0
1687381494.5878496,-45.8984375,-47.8515625,-61.5234375,-5.37109375,0.0
1687381494.5917544,104.98046875,-38.57421875,-67.3828125,-5.859375,0.0
1687381494.595659,24.4140625,-36.62109375,-62.01171875,-20.01953125,0.0
1687381494.59962,-137.20703125,-36.62109375,-72.265625,-43.45703125,0.0
1687381494.6035247,-94.7265625,-36.62109375,-86.42578125,-46.875,0.0
1687381494.6074295,52.24609375,-42.96875,-76.171875,-16.11328125,0.0
1687381494.6113343,51.7578125,-47.8515625,-71.77734375,1.46484375,0.0
1687381494.615239,-125.9765625,-43.45703125,-69.82421875,-34.1796875,0.0
1687381494.6191437,-118.1640625,-35.15625,-64.453125,-53.7109375,0.0
1687381494.6230485,23.92578125,-25.87890625,-61.03515625,-26.85546875,0.0
1687381494.6269531,102.5390625,-23.4375,-56.15234375,-10.7421875,0.0
1687381494.630858,-67.87109375,-29.78515625,-56.15234375,-36.62109375,0.0
1687381494.6347628,-121.58203125,-28.3203125,-56.15234375,-26.3671875,0.0
1687381494.6386673,-0.9765625,-27.83203125,-64.94140625,-7.8125,0.0
1687381494.6425722,119.140625,-34.66796875,-71.77734375,6.34765625,0.0
1687381494.6465254,-22.4609375,-40.0390625,-71.2890625,-10.7421875,0.0
1687381494.6504302,-144.04296875,-40.52734375,-69.82421875,-37.109375,0.0
1687381494.654335,-62.5,-33.203125,-62.5,-15.13671875,0.0
1687381494.6582396,91.30859375,-31.25,-53.22265625,4.39453125,0.0
1687381494.6621444,19.04296875,-34.66796875,-65.91796875,-21.97265625,0.0
1687381494.6660492,-148.92578125,-31.25,-67.87109375,-44.921875,0.0
1687381494.669954,-100.5859375,-36.1328125,-51.7578125,-45.8984375,0.0
1687381494.6738586,49.8046875,-44.921875,-53.22265625,-25.87890625,0.0
1687381494.6777635,75.68359375,-37.59765625,-48.33984375,-6.34765625,0.0
1687381494.6816683,-104.4921875,-38.57421875,-47.8515625,-24.4140625,0.0
1687381494.6855729,-110.83984375,-45.8984375,-57.6171875,-20.5078125,0.0
1687381494.6894777,20.01953125,-48.33984375,-55.6640625,-18.06640625,0.0
1687381494.6934257,101.5625,-46.875,-49.8046875,-13.18359375,0.0
1687381494.6973305,-57.12890625,-43.45703125,-54.6875,-27.34375,0.0
1687381494.7012353,-133.7890625,-40.0390625,-56.15234375,-41.9921875,0.0
1687381494.7051399,-31.73828125,-37.109375,-51.7578125,-31.73828125,0.0
1687381494.7090447,110.83984375,-37.59765625,-50.78125,-8.30078125,0.0
1687381494.7129495,-0.48828125,-34.1796875,-46.875,-14.6484375,0.0
1687381494.716854,-138.18359375,-34.1796875,-38.0859375,-30.2734375,0.0
1687381494.720759,-73.2421875,-34.1796875,-43.9453125,-32.2265625,0.0
1687381494.7246637,81.0546875,-30.76171875,-60.05859375,-30.2734375,0.0
1687381494.7285683,47.36328125,-35.64453125,-59.5703125,-30.2734375,0.0
1687381494.7324731,-129.39453125,-41.50390625,-51.7578125,-51.26953125,0.0
1687381494.736378,-101.5625,-36.62109375,-42.48046875,-47.36328125,0.0
1687381494.74032,42.96875,-27.83203125,-36.1328125,-30.2734375,0.0
1687381494.7442248,84.9609375,-30.76171875,-35.64453125,-20.5078125,0.0
1687381494.7481296,-88.37890625,-32.2265625,-33.69140625,-24.4140625,0.0
1687381494.7520342,-111.328125,-35.15625,-36.62109375,-19.53125,0.0
1687381494.755939,9.27734375,-38.57421875,-32.71484375,-23.92578125,0.0
1687381494.7598438,112.79296875,-36.1328125,-29.78515625,-27.83203125,0.0
1687381494.7637484,-38.57421875,-37.59765625,-42.96875,-26.85546875,0.0
1687381494.7676532,-138.18359375,-32.2265625,-42.48046875,-25.390625,0.0
1687381494.771558,-43.9453125,-31.25,-39.55078125,-37.59765625,0.0
1687381494.7754626,102.5390625,-33.203125,-47.36328125,-26.3671875,0.0
1687381494.7793674,7.8125,-35.15625,-46.38671875,-20.01953125,0.0
1687381494.7832723,-141.6015625,-44.43359375,-43.45703125,-37.109375,0.0
1687381494.7872083,-82.51953125,-42.96875,-44.43359375,-38.0859375,0.0
1687381494.791113,70.3125,-45.8984375,-46.38671875,-23.4375,0.0
1687381494.7950177,58.10546875,-47.36328125,-52.24609375,-20.99609375,0.0
1687381494.7989225,-122.55859375,-35.15625,-56.15234375,-38.0859375,0.0
1687381494.8028274,-108.3984375,-35.64453125,-49.31640625,-24.90234375,0.0
1687381494.806732,36.62109375,-35.64453125,-36.1328125,-9.765625,0.0
1687381494.8106368,104.00390625,-33.203125,-36.62109375,-6.8359375,0.0
1687381494.8145416,-75.68359375,-38.0859375,-39.0625,-25.390625,0.0
1687381494.8184462,-123.53515625,-42.96875,-40.52734375,-39.55078125,0.0
1687381494.822351,-0.9765625,-44.921875,-41.9921875,-32.2265625,0.0
1687381494.8262558,119.62890625,-44.921875,-41.50390625,-10.25390625,0.0
1687381494.8301604,-19.04296875,-41.9921875,-46.875,-13.18359375,0.0
1687381494.8340924,-136.71875,-38.57421875,-49.8046875,-29.78515625,0.0
1687381494.8379972,-54.19921875,-34.1796875,-51.7578125,-30.2734375,0.0
1687381494.8419018,101.5625,-34.66796875,-52.24609375,-2.44140625,0.0
1687381494.8458066,35.64453125,-41.015625,-41.50390625,14.16015625,0.0
1687381494.8497114,-129.39453125,-38.0859375,-37.109375,-8.7890625,0.0
1687381494.8536162,-81.0546875,-33.69140625,-34.66796875,-16.6015625,0.0
1687381494.8575208,62.5,-30.76171875,-32.2265625,-5.37109375,0.0
1687381494.8614256,67.87109375,-33.203125,-38.57421875,-8.30078125,0.0
1687381494.8653305,-116.2109375,-39.55078125,-48.33984375,-35.15625,0.0
1687381494.869235,-121.58203125,-38.57421875,-54.6875,-46.875,0.0
1687381494.8731399,13.671875,-35.64453125,-52.24609375,-30.2734375,0.0
1687381494.8770447,103.515625,-32.2265625,-46.38671875,-9.27734375,0.0
1687381494.8810196,-62.01171875,-30.76171875,-42.96875,-33.203125,0.0
1687381494.8849244,-138.671875,-37.109375,-55.17578125,-48.828125,0.0
1687381494.888829,-36.62109375,-41.50390625,-63.96484375,-27.83203125,0.0
1687381494.8927338,103.515625,-38.57421875,-53.7109375,-12.20703125,0.0
1687381494.8966386,-14.6484375,-34.66796875,-54.6875,-14.6484375,0.0
1687381494.9005435,-150.87890625,-36.62109375,-71.77734375,-26.85546875,0.0
1687381494.904448,-80.078125,-39.55078125,-69.82421875,-36.1328125,0.0
1687381494.9083529,75.68359375,-40.0390625,-56.15234375,-13.671875,0.0
1687381494.9122577,52.734375,-37.109375,-43.45703125,3.90625,0.0
1687381494.9161623,-121.09375,-41.015625,-42.96875,-16.6015625,0.0
1687381494.920067,-108.88671875,-45.8984375,-54.6875,-36.1328125,0.0
1687381494.923972,37.109375,-43.45703125,-59.08203125,-31.73828125,0.0
1687381494.927937,78.61328125,-38.0859375,-54.6875,-10.25390625,0.0
1687381494.9318419,-103.02734375,-33.69140625,-53.22265625,-30.2734375,0.0
1687381494.9357464,-134.765625,-39.55078125,-55.17578125,-35.64453125,0.0
1687381494.9396513,-8.30078125,-44.921875,-61.03515625,-6.34765625,0.0
1687381494.943556,107.421875,-45.8984375,-67.3828125,2.9296875,0.0
1687381494.947461,-46.875,-50.29296875,-71.77734375,-36.62109375,0.0
1687381494.9513655,-143.06640625,-53.22265625,-66.40625,-43.9453125,0.0
1687381494.9552703,-45.8984375,-46.875,-55.6640625,-9.765625,0.0
1687381494.959175,101.07421875,-43.45703125,-58.59375,-4.39453125,0.0
1687381494.9630797,1.46484375,-44.43359375,-62.98828125,-13.671875,0.0
1687381494.9669845,-150.390625,-46.38671875,-63.4765625,-30.76171875,0.0
1687381494.9708893,-96.19140625,-47.36328125,-63.4765625,-34.66796875,0.0
1687381494.9748485,61.5234375,-40.52734375,-58.59375,-11.23046875,0.0
1687381494.978753,52.734375,-37.109375,-54.6875,-9.27734375,0.0
1687381494.982658,-129.8828125,-38.0859375,-55.6640625,-44.921875,0.0
1687381494.9865627,-111.328125,-37.59765625,-58.10546875,-38.0859375,0.0
1687381494.9904673,36.1328125,-36.1328125,-49.8046875,-10.25390625,0.0
1687381494.9943721,100.09765625,-26.3671875,-41.9921875,-5.859375,0.0
1687381494.998277,-80.078125,-28.80859375,-51.7578125,-40.0390625,0.0
1687381495.0021818,-136.23046875,-37.109375,-55.6640625,-46.875,0.0
1687381495.0060863,-17.08984375,-35.15625,-47.8515625,-25.87890625,0.0
1687381495.0099912,107.91015625,-37.109375,-42.48046875,-13.18359375,0.0
1687381495.013896,-25.87890625,-33.69140625,-39.55078125,-25.390625,0.0
1687381495.0178006,-131.34765625,-32.2265625,-39.0625,-30.76171875,0.0
1687381495.0217538,-45.8984375,-34.1796875,-44.43359375,-20.5078125,0.0
1687381495.0256586,112.79296875,-22.94921875,-46.38671875,-9.27734375,0.0
1687381495.0295634,36.62109375,-18.5546875,-37.59765625,-19.04296875,0.0
1687381495.033468,-130.37109375,-29.296875,-38.57421875,-42.96875,0.0
1687381495.0373728,-81.0546875,-32.2265625,-41.9921875,-41.015625,0.0
1687381495.0412776,62.01171875,-31.73828125,-44.921875,-19.53125,0.0
1687381495.0451822,70.80078125,-23.4375,-49.8046875,-16.6015625,0.0
1687381495.049087,-104.4921875,-23.92578125,-56.640625,-38.57421875,0.0
1687381495.0529919,-114.74609375,-33.203125,-58.10546875,-41.015625,0.0
1687381495.0568964,14.16015625,-33.69140625,-46.38671875,-28.80859375,0.0
1687381495.0608013,106.4453125,-31.73828125,-42.96875,-5.859375,0.0
1687381495.064706,-47.8515625,-31.25,-47.36328125,-14.6484375,0.0
1687381495.0686526,-121.58203125,-27.83203125,-46.38671875,-20.01953125,0.0
1687381495.0725574,-17.578125,-29.296875,-44.921875,-8.7890625,0.0
1687381495.076462,114.74609375,-33.69140625,-49.8046875,-0.48828125,0.0
1687381495.0803668,-13.18359375,-35.15625,-51.26953125,-9.765625,0.0
1687381495.0842717,-140.13671875,-31.73828125,-45.8984375,-11.71875,0.0
1687381495.0881765,-65.4296875,-33.203125,-41.015625,-5.37109375,0.0
1687381495.092081,86.42578125,-33.203125,-50.29296875,-2.9296875,0.0
1687381495.095986,47.8515625,-29.296875,-48.33984375,-1.953125,0.0
1687381495.0998907,-125.0,-27.83203125,-39.0625,-29.296875,0.0
1687381495.1037953,-101.5625,-29.296875,-52.734375,-30.2734375,0.0
1687381495.1077,39.0625,-32.2265625,-59.5703125,-8.7890625,0.0
1687381495.111605,79.58984375,-29.78515625,-53.7109375,-3.90625,0.0
1687381495.1155457,-92.28515625,-29.78515625,-48.828125,-11.71875,0.0
1687381495.1194506,-112.3046875,-31.25,-48.33984375,1.46484375,0.0
1687381495.1233552,8.7890625,-39.0625,-52.734375,-9.27734375,0.0
1687381495.12726,113.76953125,-39.55078125,-47.8515625,-27.34375,0.0
1687381495.1311648,-32.71484375,-31.25,-44.921875,-26.85546875,0.0
1687381495.1350696,-128.90625,-31.25,-48.828125,-26.85546875,0.0
1687381495.1389742,-32.71484375,-31.73828125,-47.8515625,-13.18359375,0.0
1687381495.142879,110.3515625,-33.69140625,-44.43359375,13.18359375,0.0
1687381495.1467838,-0.9765625,-38.0859375,-53.22265625,-20.99609375,0.0
1687381495.1506884,-145.01953125,-41.015625,-56.640625,-58.10546875,0.0
1687381495.1545932,-81.0546875,-41.9921875,-57.12890625,-19.53125,0.0
1687381495.158498,73.73046875,-35.15625,-55.17578125,3.41796875,0.0
1687381495.1624339,54.19921875,-32.71484375,-44.921875,-6.8359375,0.0
1687381495.1663387,-125.0,-35.64453125,-48.33984375,-35.64453125,0.0
1687381495.1702435,-108.88671875,-38.57421875,-46.38671875,-29.78515625,0.0
1687381495.174148,28.80859375,-44.43359375,-47.8515625,-0.9765625,0.0
1687381495.178053,86.42578125,-40.52734375,-58.10546875,-16.11328125,0.0
1687381495.1819577,-85.9375,-39.0625,-57.12890625,-41.015625,0.0
1687381495.1858625,-128.41796875,-41.50390625,-53.7109375,-39.55078125,0.0
1687381495.1897671,-12.6953125,-41.50390625,-49.31640625,-28.3203125,0.0
1687381495.193672,105.95703125,-39.0625,-45.8984375,-9.765625,0.0
1687381495.1975768,-35.15625,-38.57421875,-51.7578125,-31.73828125,0.0
1687381495.2014813,-144.53125,-40.0390625,-52.24609375,-46.875,0.0
1687381495.2053862,-55.6640625,-41.9921875,-55.6640625,-28.3203125,0.0
1687381495.2093654,100.09765625,-40.0390625,-51.26953125,-15.13671875,0.0
1687381495.2132702,26.3671875,-33.203125,-43.9453125,-21.484375,0.0
1687381495.2171748,-136.23046875,-41.015625,-58.10546875,-48.33984375,0.0
1687381495.2210796,-89.35546875,-43.9453125,-59.5703125,-44.921875,0.0
1687381495.2249844,63.4765625,-37.109375,-50.78125,-16.11328125,0.0
1687381495.2288892,67.3828125,-33.203125,-50.29296875,-10.25390625,0.0
1687381495.2327938,-112.79296875,-30.2734375,-49.31640625,-29.78515625,0.0
1687381495.2366986,-104.98046875,-26.85546875,-44.921875,-26.3671875,0.0
1687381495.2406034,28.80859375,-31.25,-45.8984375,-9.27734375,0.0
1687381495.2445083,100.5859375,-38.0859375,-46.875,10.7421875,0.0
1687381495.2484128,-68.359375,-39.0625,-60.05859375,-18.5546875,0.0
1687381495.2523177,-129.39453125,-34.66796875,-72.265625,-45.8984375,0.0
1687381495.2562895,-16.6015625,-30.76171875,-63.96484375,-21.97265625,0.0
1687381495.2601943,113.76953125,-35.15625,-56.640625,0.9765625,0.0
1687381495.2640991,-16.6015625,-39.0625,-55.17578125,-20.5078125,0.0
1687381495.2680037,-146.484375,-35.64453125,-58.10546875,-35.15625,0.0
