time,TP9,AF7,AF8,TP10,Right AUX
1690406171.7598526,27.83203125,-27.83203125,-23.92578125,-35.15625,0.0
1690406171.7637455,552.734375,-27.34375,-26.3671875,95.21484375,0.0
1690406171.7676384,-44.921875,-32.2265625,-19.53125,-12.20703125,0.0
1690406171.7715313,-487.3046875,-41.50390625,-19.04296875,-123.046875,0.0
1690406171.7754245,-157.71484375,-43.9453125,-28.3203125,-77.63671875,0.0
1690406171.7793174,494.62890625,-34.1796875,-34.66796875,68.84765625,0.0
1690406171.7832103,151.85546875,-46.38671875,-40.0390625,16.11328125,0.0
1690406171.7871032,-481.4453125,-61.03515625,-36.1328125,-137.20703125,0.0
1690406171.790996,-346.6796875,-58.59375,-32.71484375,-117.1875,0.0
1690406171.7948892,322.75390625,-38.57421875,-39.0625,32.2265625,0.0
1690406171.798782,333.0078125,-33.203125,-39.0625,58.10546875,0.0
1690406171.802675,-383.7890625,-46.38671875,-31.25,-102.5390625,0.0
1690406171.806726,-436.5234375,-53.22265625,-33.203125,-143.06640625,0.0
1690406171.8106189,152.34375,-40.52734375,-38.0859375,-17.578125,0.0
1690406171.8145118,483.88671875,-30.76171875,-36.1328125,76.66015625,0.0
1690406171.818405,-214.35546875,-44.921875,-36.1328125,-68.84765625,0.0
1690406171.8222978,-480.46875,-50.78125,-46.875,-153.80859375,0.0
1690406171.8261907,-19.53125,-46.38671875,-52.734375,-58.10546875,0.0
1690406171.8300836,539.0625,-42.96875,-43.9453125,72.75390625,0.0
1690406171.8339767,-11.23046875,-51.7578125,-37.109375,-18.06640625,0.0
1690406171.8378696,-492.67578125,-62.01171875,-32.71484375,-127.44140625,0.0
1690406171.8417625,-210.9375,-50.29296875,-37.59765625,-103.515625,0.0
1690406171.8456554,458.984375,-33.69140625,-38.0859375,64.453125,0.0
1690406171.8495486,219.7265625,-35.64453125,-36.1328125,40.52734375,0.0
1690406171.8535903,-436.5234375,-38.57421875,-37.109375,-120.60546875,0.0
1690406171.8574831,-364.74609375,-40.52734375,-35.64453125,-128.90625,0.0
1690406171.861376,284.66796875,-41.50390625,-37.109375,18.06640625,0.0
1690406171.8652692,387.6953125,-39.0625,-38.0859375,77.63671875,0.0
1690406171.869162,-332.51953125,-42.96875,-34.1796875,-76.66015625,0.0
1690406171.873055,-434.08203125,-49.31640625,-28.3203125,-115.72265625,0.0
1690406171.8769479,98.14453125,-42.96875,-28.80859375,-1.46484375,0.0
1690406171.880841,497.55859375,-46.38671875,-31.25,102.5390625,0.0
1690406171.884734,-158.203125,-46.875,-27.34375,-35.15625,0.0
1690406171.8886268,-479.00390625,-38.0859375,-34.66796875,-126.46484375,0.0
1690406171.89252,-78.61328125,-32.2265625,-32.71484375,-42.48046875,0.0
1690406171.8964128,526.85546875,-31.25,-20.01953125,106.93359375,0.0
1690406171.900448,62.5,-44.921875,-23.92578125,23.92578125,0.0
1690406171.904341,-492.1875,-41.015625,-22.94921875,-116.69921875,0.0
1690406171.908234,-261.23046875,-38.0859375,-18.06640625,-83.984375,0.0
