time,TP9,AF7,AF8,TP10,Right AUX
1690406720.283224,133.7890625,-74.21875,-66.40625,118.65234375,0.0
1690406720.2871096,-86.9140625,-74.70703125,-60.546875,-85.44921875,0.0
1690406720.290995,-236.81640625,-87.890625,-49.8046875,-230.95703125,0.0
1690406720.2948802,-67.87109375,-77.63671875,-49.8046875,-71.2890625,0.0
1690406720.2987654,136.23046875,-69.3359375,-58.10546875,134.765625,0.0
1690406720.3026507,-20.01953125,-95.21484375,-59.5703125,10.25390625,0.0
1690406720.3065362,-227.05078125,-98.14453125,-59.08203125,-213.37890625,0.0
1690406720.3104215,-126.46484375,-78.61328125,-61.03515625,-159.1796875,0.0
1690406720.3143067,114.2578125,-62.5,-58.59375,87.40234375,0.0
1690406720.318192,61.5234375,-69.3359375,-58.10546875,81.0546875,0.0
1690406720.3220773,-174.31640625,-83.984375,-59.5703125,-153.80859375,0.0
1690406720.3259628,-185.05859375,-80.078125,-56.640625,-214.35546875,0.0
1690406720.330099,47.36328125,-73.2421875,-54.19921875,1.46484375,0.0
1690406720.3339846,108.3984375,-78.125,-54.6875,108.88671875,0.0
1690406720.33787,-131.34765625,-96.19140625,-51.7578125,-106.4453125,0.0
1690406720.3417552,-219.7265625,-96.19140625,-59.08203125,-220.703125,0.0
1690406720.3456407,-3.41796875,-79.58984375,-65.4296875,-22.4609375,0.0
1690406720.349526,147.94921875,-75.1953125,-56.15234375,146.484375,0.0
1690406720.3534112,-62.98828125,-83.49609375,-46.875,-40.52734375,0.0
1690406720.3572967,-230.46875,-92.7734375,-46.875,-212.890625,0.0
1690406720.361182,-73.2421875,-89.35546875,-54.6875,-83.0078125,0.0
1690406720.3650672,137.6953125,-72.75390625,-64.453125,118.1640625,0.0
1690406720.3689528,5.37109375,-83.984375,-62.5,33.69140625,0.0
1690406720.372838,-212.40234375,-98.14453125,-58.59375,-187.01171875,0.0
1690406720.3769631,-149.4140625,-97.16796875,-67.87109375,-166.50390625,0.0
1690406720.3808486,93.75,-90.33203125,-80.56640625,66.89453125,0.0
1690406720.384734,75.68359375,-104.00390625,-78.61328125,92.7734375,0.0
1690406720.3886194,-171.38671875,-114.74609375,-73.2421875,-156.25,0.0
1690406720.3925047,-195.80078125,-89.35546875,-70.3125,-211.42578125,0.0
1690406720.3963902,43.9453125,-82.03125,-65.91796875,31.73828125,0.0
1690406720.4002755,112.3046875,-100.09765625,-65.91796875,121.58203125,0.0
1690406720.404161,-117.1875,-112.79296875,-64.94140625,-85.9375,0.0
1690406720.4080462,-223.14453125,-102.5390625,-65.4296875,-215.8203125,0.0
1690406720.4119318,-22.4609375,-93.26171875,-68.84765625,-44.921875,0.0
1690406720.415817,139.16015625,-87.40234375,-71.77734375,138.671875,0.0
1690406720.4197025,-50.78125,-90.8203125,-70.3125,-30.2734375,0.0
1690406720.4238176,-228.02734375,-97.16796875,-72.75390625,-228.02734375,0.0
1690406720.4277031,-93.75,-78.61328125,-80.078125,-106.93359375,0.0
1690406720.4315886,139.6484375,-55.6640625,-75.68359375,137.6953125,0.0
1690406720.435474,35.64453125,-70.80078125,-70.80078125,46.38671875,0.0
1690406720.4393594,-191.40625,-102.05078125,-68.359375,-168.45703125,0.0
1690406720.443245,-144.53125,-101.5625,-64.94140625,-129.8828125,0.0
1690406720.4471302,86.9140625,-79.58984375,-62.5,97.65625,0.0
1690406720.4510157,97.16796875,-84.47265625,-55.17578125,130.859375,0.0
1690406720.4549012,-134.765625,-95.703125,-58.10546875,-110.3515625,0.0
1690406720.4587865,-176.7578125,-89.84375,-63.4765625,-187.5,0.0
1690406720.462672,62.5,-77.1484375,-65.91796875,34.1796875,0.0
