time,tag,tr,flag
2023-07-12 17:20:41.439219,ct,,
2023-07-12 17:20:42.271100,ct,,omission error
2023-07-12 17:20:42.642913,click,,
2023-07-12 17:20:43.111951,ct,0.371813,correct comission
2023-07-12 17:20:43.586967,click,,
2023-07-12 17:20:43.923771,ct,0.475016,correct comission
2023-07-12 17:20:44.601557,click,,
2023-07-12 17:20:44.747663,ct,0.677786,correct comission
2023-07-12 17:20:45.325933,click,,
2023-07-12 17:20:45.561368,ct,0.57827,correct comission
2023-07-12 17:20:46.159127,click,,
2023-07-12 17:20:46.376946,mt,,comission error
2023-07-12 17:20:46.916431,click,,
2023-07-12 17:20:47.238593,ct,0.539485,correct comission
2023-07-12 17:20:47.934768,click,,
2023-07-12 17:20:48.056685,ct,0.696175,correct comission
2023-07-12 17:20:48.509317,click,,
2023-07-12 17:20:48.873284,ct,0.452632,correct comission
2023-07-12 17:20:49.226850,click,,
2023-07-12 17:20:49.703495,ct,0.353566,correct comission
2023-07-12 17:20:50.068505,click,,
2023-07-12 17:20:50.507090,ct,0.36501,correct comission
2023-07-12 17:20:51.320820,ct,,omission error
2023-07-12 17:20:51.642134,click,,
2023-07-12 17:20:52.179908,ct,0.321314,correct comission
2023-07-12 17:20:53.260589,click,,
2023-07-12 17:20:53.020418,ct,1.080681,correct comission
2023-07-12 17:20:53.886043,click,,
2023-07-12 17:20:53.838090,ct,0.865625,correct comission
2023-07-12 17:20:54.499700,click,,
2023-07-12 17:20:54.667828,ct,0.66161,correct comission
2023-07-12 17:20:55.398605,click,,
2023-07-12 17:20:55.477822,ct,0.730777,correct comission
2023-07-12 17:20:56.563717,click,,
2023-07-12 17:20:56.306297,mt,,comission error
2023-07-12 17:20:57.103847,ct,,omission error
2023-07-12 17:20:57.644759,click,,
2023-07-12 17:20:57.906679,ct,0.540912,correct comission
2023-07-12 17:20:58.582414,click,,
2023-07-12 17:20:58.730782,ct,0.675735,correct comission
2023-07-12 17:20:59.307072,click,,
2023-07-12 17:20:59.561678,ct,0.57629,correct comission
2023-07-12 17:21:00.065341,click,,
2023-07-12 17:21:00.425770,mt,,comission error
2023-07-12 17:21:01.046669,click,,
2023-07-12 17:21:01.253694,ct,0.620899,correct comission
2023-07-12 17:21:01.789645,click,,
2023-07-12 17:21:02.137729,ct,0.535951,correct comission
2023-07-12 17:21:02.963614,ct,,omission error
2023-07-12 17:21:03.826666,ct,,omission error
2023-07-12 17:21:04.230573,click,,
2023-07-12 17:21:04.627129,ct,0.403907,correct comission
2023-07-12 17:21:04.948433,click,,
2023-07-12 17:21:05.435606,ct,0.321304,correct comission
2023-07-12 17:21:06.430509,click,,
2023-07-12 17:21:06.267294,ct,0.994903,correct comission
2023-07-12 17:21:07.247376,click,,
2023-07-12 17:21:07.088547,ct,0.980082,correct comission
2023-07-12 17:21:07.980957,click,,
2023-07-12 17:21:07.980005,ct,0.89241,correct comission
2023-07-12 17:21:08.807530,click,,
2023-07-12 17:21:08.848701,ct,0.827525,correct comission
2023-07-12 17:21:09.319913,click,,
2023-07-12 17:21:09.678532,ct,0.471212,correct comission
2023-07-12 17:21:10.450449,click,,
2023-07-12 17:21:10.493965,ct,0.771917,correct comission
2023-07-12 17:21:11.454380,click,,
2023-07-12 17:21:11.356159,ct,0.960415,correct comission
2023-07-12 17:21:12.146852,click,,
2023-07-12 17:21:12.194917,mt,,comission error
2023-07-12 17:21:12.897552,click,,
2023-07-12 17:21:12.999292,ct,0.702635,correct comission
2023-07-12 17:21:13.830659,click,,
2023-07-12 17:21:13.796720,ct,0.831367,correct comission
2023-07-12 17:21:14.591791,ct,,omission error
2023-07-12 17:21:15.005030,click,,
2023-07-12 17:21:15.413662,ct,0.413239,correct comission
2023-07-12 17:21:15.797959,click,,
2023-07-12 17:21:16.253387,ct,0.384297,correct comission
2023-07-12 17:21:16.783390,click,,
2023-07-12 17:21:17.127592,ct,0.530003,correct comission
2023-07-12 17:21:17.450847,click,,
2023-07-12 17:21:18.014222,ct,0.323255,correct comission
2023-07-12 17:21:18.737598,click,,
2023-07-12 17:21:18.835069,ct,0.723376,correct comission
2023-07-12 17:21:19.588825,click,,
2023-07-12 17:21:19.727163,ct,0.753756,correct comission
2023-07-12 17:21:20.551041,ct,,omission error
2023-07-12 17:21:21.365759,mt,,correct omission
2023-07-12 17:21:22.194109,ct,,omission error
2023-07-12 17:21:23.037421,ct,,omission error
2023-07-12 17:21:23.870314,ct,,omission error
2023-07-12 17:21:24.687800,ct,,omission error
2023-07-12 17:21:25.499337,ct,,omission error
2023-07-12 17:21:26.315404,ct,,omission error
2023-07-12 17:21:27.129021,ct,,omission error
2023-07-12 17:21:27.940753,ct,,omission error
2023-07-12 17:21:28.779736,mt,,correct omission
2023-07-12 17:21:29.616122,ct,,omission error
2023-07-12 17:21:30.489995,ct,,omission error
2023-07-12 17:21:31.289659,ct,,omission error
2023-07-12 17:21:32.137904,ct,,omission error
2023-07-12 17:21:32.947469,ct,,omission error
2023-07-12 17:21:33.814092,ct,,omission error
2023-07-12 17:21:34.667190,ct,,omission error
2023-07-12 17:21:35.492123,ct,,omission error
2023-07-12 17:21:36.306267,ct,,omission error
2023-07-12 17:21:37.104841,mt,,correct omission
2023-07-12 17:21:37.899480,ct,,omission error
2023-07-12 17:21:38.696291,ct,,omission error
