time,tag,tr,flag
2023-06-10 10:09:56.341130,ct,,
2023-06-10 10:09:57.151045,ct,,omission error
2023-06-10 10:09:57.894943,,,
2023-06-10 10:09:57.962684,ct,0:00:00.743898,correct comission
2023-06-10 10:09:58.714657,,,
2023-06-10 10:09:58.770758,ct,0:00:00.751973,correct comission
2023-06-10 10:09:59.549151,,,
2023-06-10 10:09:59.580727,ct,0:00:00.778393,correct comission
2023-06-10 10:10:00.364038,,,
2023-06-10 10:10:00.387044,mt,,comission error
2023-06-10 10:10:01.193103,ct,,omission error
2023-06-10 10:10:01.949587,,,
2023-06-10 10:10:02.006531,ct,0:00:00.756484,correct comission
2023-06-10 10:10:02.789458,,,
2023-06-10 10:10:02.813598,ct,0:00:00.782927,correct comission
2023-06-10 10:10:03.644071,,,
2023-06-10 10:10:03.618552,ct,0:00:00.830473,correct comission
2023-06-10 10:10:04.543674,,,
2023-06-10 10:10:04.431235,ct,0:00:00.925122,correct comission
2023-06-10 10:10:05.368752,,,
2023-06-10 10:10:05.247187,ct,0:00:00.937517,correct comission
2023-06-10 10:10:06.153314,,,
2023-06-10 10:10:06.055424,ct,0:00:00.906127,correct comission
2023-06-10 10:10:07.054775,,,
2023-06-10 10:10:06.868799,ct,0:00:00.999351,correct comission
2023-06-10 10:10:07.662628,,,
2023-06-10 10:10:07.679974,ct,0:00:00.793829,correct comission
2023-06-10 10:10:08.583533,,,
2023-06-10 10:10:08.491061,ct,0:00:00.903559,correct comission
2023-06-10 10:10:09.423791,,,
2023-06-10 10:10:09.301562,ct,0:00:00.932730,correct comission
2023-06-10 10:10:10.186219,,,
2023-06-10 10:10:10.110082,ct,0:00:00.884657,correct comission
2023-06-10 10:10:10.872423,,,
2023-06-10 10:10:10.918296,mt,,comission error
2023-06-10 10:10:11.731812,ct,,omission error
2023-06-10 10:10:12.479560,,,
2023-06-10 10:10:12.542015,ct,0:00:00.747748,correct comission
2023-06-10 10:10:13.470841,,,
2023-06-10 10:10:13.355844,ct,0:00:00.928826,correct comission
2023-06-10 10:10:14.136258,,,
2023-06-10 10:10:14.160055,ct,0:00:00.780414,correct comission
2023-06-10 10:10:14.988602,,,
2023-06-10 10:10:14.976577,ct,0:00:00.828547,correct comission
2023-06-10 10:10:15.830744,,,
2023-06-10 10:10:15.786347,mt,,comission error
2023-06-10 10:10:16.594775,ct,,omission error
2023-06-10 10:10:17.404062,,,
2023-06-10 10:10:17.405799,ct,0:00:00.809287,correct comission
2023-06-10 10:10:18.239673,,,
2023-06-10 10:10:18.216950,ct,0:00:00.833874,correct comission
2023-06-10 10:10:19.084474,,,
2023-06-10 10:10:19.028262,ct,0:00:00.867524,correct comission
2023-06-10 10:10:20.023742,,,
2023-06-10 10:10:19.837190,ct,0:00:00.995480,correct comission
2023-06-10 10:10:20.823672,,,
2023-06-10 10:10:20.644773,ct,0:00:00.986482,correct comission
2023-06-10 10:10:21.655761,,,
2023-06-10 10:10:21.453463,ct,0:00:01.010988,correct comission
2023-06-10 10:10:22.555410,,,
2023-06-10 10:10:22.269977,mt,,comission error
2023-06-10 10:10:23.087746,ct,,omission error
2023-06-10 10:10:23.929443,,,
2023-06-10 10:10:23.896541,ct,0:00:00.841697,correct comission
2023-06-10 10:10:24.941511,,,
2023-06-10 10:10:24.708215,ct,0:00:01.044970,correct comission
2023-06-10 10:10:25.728579,,,
2023-06-10 10:10:25.517484,ct,0:00:01.020364,correct comission
2023-06-10 10:10:26.488205,,,
2023-06-10 10:10:26.323161,ct,0:00:00.970721,correct comission
2023-06-10 10:10:27.423049,,,
2023-06-10 10:10:27.132370,ct,0:00:01.099888,correct comission
2023-06-10 10:10:28.184333,,,
2023-06-10 10:10:27.938170,ct,0:00:01.051963,correct comission
2023-06-10 10:10:28.940371,,,
2023-06-10 10:10:28.752388,ct,0:00:01.002201,correct comission
2023-06-10 10:10:29.707920,,,
2023-06-10 10:10:29.564085,ct,0:00:00.955532,correct comission
2023-06-10 10:10:30.621666,,,
2023-06-10 10:10:30.378073,ct,0:00:01.057581,correct comission
2023-06-10 10:10:31.327529,,,
2023-06-10 10:10:31.184478,ct,0:00:00.949456,correct comission
2023-06-10 10:10:32.090169,,,
2023-06-10 10:10:31.993428,ct,0:00:00.905691,correct comission
2023-06-10 10:10:32.913308,,,
2023-06-10 10:10:32.814263,ct,0:00:00.919880,correct comission
2023-06-10 10:10:33.726386,,,
2023-06-10 10:10:33.624002,ct,0:00:00.912123,correct comission
2023-06-10 10:10:34.545102,,,
2023-06-10 10:10:34.433539,mt,,comission error
2023-06-10 10:10:35.244803,ct,,omission error
2023-06-10 10:10:36.017429,,,
2023-06-10 10:10:36.054319,ct,0:00:00.772626,correct comission
2023-06-10 10:10:36.809421,,,
2023-06-10 10:10:36.863757,ct,0:00:00.755102,correct comission
2023-06-10 10:10:37.738967,,,
2023-06-10 10:10:37.672530,ct,0:00:00.875210,correct comission
2023-06-10 10:10:38.769599,,,
2023-06-10 10:10:38.483887,ct,0:00:01.097069,correct comission
2023-06-10 10:10:39.580861,,,
2023-06-10 10:10:39.302910,ct,0:00:01.096974,correct comission
2023-06-10 10:10:40.382304,,,
2023-06-10 10:10:40.112162,ct,0:00:01.079394,correct comission
2023-06-10 10:10:41.155386,,,
2023-06-10 10:10:40.922215,ct,0:00:01.043224,correct comission
2023-06-10 10:10:41.954631,,,
2023-06-10 10:10:41.732220,ct,0:00:01.032416,correct comission
2023-06-10 10:10:42.763848,,,
2023-06-10 10:10:42.539013,mt,,comission error
2023-06-10 10:10:43.353209,ct,,omission error
2023-06-10 10:10:44.223289,,,
2023-06-10 10:10:44.168789,ct,0:00:00.870080,correct comission
2023-06-10 10:10:44.930430,,,
2023-06-10 10:10:44.986588,ct,0:00:00.761641,correct comission
2023-06-10 10:10:45.772477,,,
2023-06-10 10:10:45.808936,ct,0:00:00.785889,correct comission
2023-06-10 10:10:46.684874,,,
2023-06-10 10:10:46.619830,ct,0:00:00.875938,correct comission
2023-06-10 10:10:47.586639,,,
2023-06-10 10:10:47.442665,ct,0:00:00.966809,correct comission
2023-06-10 10:10:48.415807,,,
2023-06-10 10:10:48.261535,mt,,comission error
2023-06-10 10:10:49.076086,ct,,omission error
2023-06-10 10:10:49.874198,,,
2023-06-10 10:10:49.896337,ct,0:00:00.798112,correct comission
2023-06-10 10:10:50.801884,,,
2023-06-10 10:10:50.723351,ct,0:00:00.905547,correct comission
2023-06-10 10:10:51.681185,,,
2023-06-10 10:10:51.544450,ct,0:00:00.957834,correct comission
2023-06-10 10:10:52.476937,,,
2023-06-10 10:10:52.367727,ct,0:00:00.932487,correct comission
2023-06-10 10:10:53.300836,,,
2023-06-10 10:10:53.176775,ct,0:00:00.933109,correct comission
2023-06-10 10:10:54.283751,,,
2023-06-10 10:10:53.987728,ct,0:00:01.106976,correct comission
2023-06-10 10:10:55.076560,,,
2023-06-10 10:10:54.798275,ct,0:00:01.088832,correct comission
2023-06-10 10:10:55.908395,,,
2023-06-10 10:10:55.610502,mt,,comission error
2023-06-10 10:10:56.416875,ct,,omission error
2023-06-10 10:10:57.329697,,,
2023-06-10 10:10:57.230112,ct,0:00:00.912822,correct comission
2023-06-10 10:10:58.133895,,,
2023-06-10 10:10:58.035855,ct,0:00:00.903783,correct comission
2023-06-10 10:10:58.920272,,,
2023-06-10 10:10:58.842267,ct,0:00:00.884417,correct comission
2023-06-10 10:10:59.805468,,,
2023-06-10 10:10:59.658140,ct,0:00:00.963201,correct comission
2023-06-10 10:11:00.609920,,,
2023-06-10 10:11:00.467205,ct,0:00:00.951780,correct comission
2023-06-10 10:11:01.363722,,,
2023-06-10 10:11:01.277326,ct,0:00:00.896517,correct comission
2023-06-10 10:11:02.245610,,,
2023-06-10 10:11:02.089616,ct,0:00:00.968284,correct comission
2023-06-10 10:11:03.056681,,,
2023-06-10 10:11:02.898150,mt,,comission error
2023-06-10 10:11:03.711318,ct,,omission error
2023-06-10 10:11:04.591283,,,
2023-06-10 10:11:04.523816,ct,0:00:00.879965,correct comission
2023-06-10 10:11:05.422751,,,
2023-06-10 10:11:05.335096,ct,0:00:00.898935,correct comission
2023-06-10 10:11:06.150373,ct,,omission error
2023-06-10 10:11:06.525696,,,
2023-06-10 10:11:06.956300,ct,0:00:00.375323,correct comission
2023-06-10 10:11:07.771444,ct,,omission error
2023-06-10 10:11:08.110564,,,
2023-06-10 10:11:08.586887,ct,0:00:00.339120,correct comission
2023-06-10 10:11:09.056519,,,
2023-06-10 10:11:09.400492,ct,0:00:00.469632,correct comission
2023-06-10 10:11:09.841597,,,
2023-06-10 10:11:10.210582,ct,0:00:00.441105,correct comission
2023-06-10 10:11:11.282681,,,
2023-06-10 10:11:11.026888,ct,0:00:01.072099,correct comission
2023-06-10 10:11:12.038372,,,
2023-06-10 10:11:11.837897,ct,0:00:01.011484,correct comission
2023-06-10 10:11:12.833954,,,
2023-06-10 10:11:12.654643,ct,0:00:00.996057,correct comission
2023-06-10 10:11:13.605858,,,
2023-06-10 10:11:13.460973,ct,0:00:00.951215,correct comission
2023-06-10 10:11:14.416595,,,
2023-06-10 10:11:14.270592,ct,0:00:00.955622,correct comission
2023-06-10 10:11:15.184773,,,
2023-06-10 10:11:15.080170,ct,0:00:00.914181,correct comission
2023-06-10 10:11:15.990016,,,
2023-06-10 10:11:15.891477,mt,,comission error
2023-06-10 10:11:16.699456,ct,,omission error
2023-06-10 10:11:17.509470,,,
2023-06-10 10:11:17.513218,ct,0:00:00.810014,correct comission
2023-06-10 10:11:18.341593,,,
2023-06-10 10:11:18.329746,ct,0:00:00.828375,correct comission
2023-06-10 10:11:19.316225,,,
2023-06-10 10:11:19.139453,ct,0:00:00.986479,correct comission
2023-06-10 10:11:20.262543,,,
2023-06-10 10:11:19.945606,ct,0:00:01.123090,correct comission
2023-06-10 10:11:20.979578,,,
2023-06-10 10:11:20.757363,mt,,comission error
2023-06-10 10:11:21.567570,ct,,omission error
2023-06-10 10:11:22.437384,,,
2023-06-10 10:11:22.369077,ct,0:00:00.869814,correct comission
2023-06-10 10:11:23.232915,,,
2023-06-10 10:11:23.176730,ct,0:00:00.863838,correct comission
2023-06-10 10:11:24.101411,,,
2023-06-10 10:11:23.993268,ct,0:00:00.924681,correct comission
2023-06-10 10:11:24.917597,,,
2023-06-10 10:11:24.805397,ct,0:00:00.924329,correct comission
2023-06-10 10:11:25.717604,,,
2023-06-10 10:11:25.616992,ct,0:00:00.912207,correct comission
2023-06-10 10:11:26.608785,,,
2023-06-10 10:11:26.430923,ct,0:00:00.991793,correct comission
2023-06-10 10:11:27.514070,,,
2023-06-10 10:11:27.246485,ct,0:00:01.083147,correct comission
2023-06-10 10:11:28.229732,,,
2023-06-10 10:11:28.053839,ct,0:00:00.983247,correct comission
2023-06-10 10:11:29.070080,,,
2023-06-10 10:11:28.867629,ct,0:00:01.016241,correct comission
2023-06-10 10:11:29.896536,,,
2023-06-10 10:11:29.683447,mt,,comission error
2023-06-10 10:11:30.499284,ct,,omission error
2023-06-10 10:11:31.383075,,,
2023-06-10 10:11:31.317733,ct,0:00:00.883791,correct comission
2023-06-10 10:11:32.154841,,,
2023-06-10 10:11:32.131467,ct,0:00:00.837108,correct comission
2023-06-10 10:11:33.027097,,,
2023-06-10 10:11:32.940528,ct,0:00:00.895630,correct comission
2023-06-10 10:11:33.896741,,,
2023-06-10 10:11:33.767112,ct,0:00:00.956213,correct comission
2023-06-10 10:11:34.777662,,,
2023-06-10 10:11:34.574379,ct,0:00:01.010550,correct comission
2023-06-10 10:11:35.686511,,,
2023-06-10 10:11:35.391149,ct,0:00:01.112132,correct comission
2023-06-10 10:11:36.393456,,,
2023-06-10 10:11:36.205167,ct,0:00:01.002307,correct comission
2023-06-10 10:11:37.073825,,,
2023-06-10 10:11:37.015756,ct,0:00:00.868658,correct comission
2023-06-10 10:11:37.825943,,,
2023-06-10 10:11:37.824835,ct,0:00:00.810187,correct comission
2023-06-10 10:11:38.650899,,,
2023-06-10 10:11:38.639396,ct,0:00:00.826064,correct comission
2023-06-10 10:11:39.491541,,,
2023-06-10 10:11:39.446616,ct,0:00:00.852145,correct comission
2023-06-10 10:11:40.344698,,,
2023-06-10 10:11:40.258009,mt,,comission error
2023-06-10 10:11:41.070721,ct,,omission error
2023-06-10 10:11:41.940098,,,
2023-06-10 10:11:41.881398,ct,0:00:00.869377,correct comission
2023-06-10 10:11:42.665207,,,
2023-06-10 10:11:42.686471,ct,0:00:00.783809,correct comission
2023-06-10 10:11:43.479346,,,
2023-06-10 10:11:43.497499,ct,0:00:00.792875,correct comission
2023-06-10 10:11:44.339963,,,
2023-06-10 10:11:44.315788,ct,0:00:00.842464,correct comission
2023-06-10 10:11:45.076874,,,
2023-06-10 10:11:45.119447,ct,0:00:00.761086,correct comission
2023-06-10 10:11:45.882023,,,
2023-06-10 10:11:45.931296,ct,0:00:00.762576,correct comission
2023-06-10 10:11:46.724837,,,
2023-06-10 10:11:46.747385,ct,0:00:00.793541,correct comission
2023-06-10 10:11:47.692017,,,
2023-06-10 10:11:47.557144,ct,0:00:00.944632,correct comission
2023-06-10 10:11:48.533547,,,
2023-06-10 10:11:48.365367,mt,,comission error
2023-06-10 10:11:49.172540,ct,,omission error
2023-06-10 10:11:49.975755,,,
2023-06-10 10:11:49.992893,ct,0:00:00.803215,correct comission
2023-06-10 10:11:50.729522,,,
2023-06-10 10:11:50.810308,ct,0:00:00.736629,correct comission
2023-06-10 10:11:51.545402,,,
2023-06-10 10:11:51.623520,ct,0:00:00.735094,correct comission
2023-06-10 10:11:52.454459,,,
2023-06-10 10:11:52.520481,mt,,comission error
2023-06-10 10:11:53.387587,,,
2023-06-10 10:11:53.333074,ct,0:00:00.867106,correct comission
2023-06-10 10:11:54.145209,ct,,omission error
