time,tag,tr,flag
2023-06-10 17:42:39.824732,ct,,
2023-06-10 17:42:40.226386,,,
2023-06-10 17:42:40.626956,ct,0 days 00:00:00.401654,correct comission
2023-06-10 17:42:41.199494,,,
2023-06-10 17:42:41.431145,ct,0 days 00:00:00.572538,correct comission
2023-06-10 17:42:42.028410,,,
2023-06-10 17:42:42.231990,mt,,comission error
2023-06-10 17:42:42.785695,,,
2023-06-10 17:42:43.045741,ct,0 days 00:00:00.553705,correct comission
2023-06-10 17:42:43.825877,,,
2023-06-10 17:42:43.855560,ct,0 days 00:00:00.780136,correct comission
2023-06-10 17:42:44.564422,,,
2023-06-10 17:42:44.669843,ct,0 days 00:00:00.708862,correct comission
2023-06-10 17:42:45.332538,,,
2023-06-10 17:42:45.481799,ct,0 days 00:00:00.662695,correct comission
2023-06-10 17:42:46.081279,,,
2023-06-10 17:42:46.289706,ct,0 days 00:00:00.599480,correct comission
2023-06-10 17:42:46.916465,,,
2023-06-10 17:42:47.094737,ct,0 days 00:00:00.626759,correct comission
2023-06-10 17:42:47.532803,,,
2023-06-10 17:42:47.900808,ct,0 days 00:00:00.438066,correct comission
2023-06-10 17:42:48.883119,,,
2023-06-10 17:42:48.712540,ct,0 days 00:00:00.982311,correct comission
2023-06-10 17:42:49.813118,,,
2023-06-10 17:42:49.522851,ct,0 days 00:00:01.100578,correct comission
2023-06-10 17:42:50.497197,,,
2023-06-10 17:42:50.341299,ct,0 days 00:00:00.974346,correct comission
2023-06-10 17:42:51.277283,,,
2023-06-10 17:42:51.157536,mt,,comission error
2023-06-10 17:42:51.965097,ct,,omission error
2023-06-10 17:42:52.658861,,,
2023-06-10 17:42:52.775118,ct,0 days 00:00:00.693764,correct comission
2023-06-10 17:42:53.460263,,,
2023-06-10 17:42:53.586312,ct,0 days 00:00:00.685145,correct comission
2023-06-10 17:42:54.158001,,,
2023-06-10 17:42:54.397293,ct,0 days 00:00:00.571689,correct comission
2023-06-10 17:42:54.918832,,,
2023-06-10 17:42:55.212846,ct,0 days 00:00:00.521539,correct comission
2023-06-10 17:42:55.717347,,,
2023-06-10 17:42:56.022215,ct,0 days 00:00:00.504501,correct comission
2023-06-10 17:42:56.559786,,,
