time,tag,tr,flag
2023-06-16 20:57:51.845390,ct,,
2023-06-16 20:57:52.647478,ct,,omission error
2023-06-16 20:57:53.466945,ct,,omission error
2023-06-16 20:57:54.288126,ct,,omission error
2023-06-16 20:57:55.146488,,,
2023-06-16 20:57:55.102032,ct,0:00:00.858362,correct comission
2023-06-16 20:57:55.913472,,,
2023-06-16 20:57:55.919216,ct,0:00:00.811440,correct comission
2023-06-16 20:57:56.797107,,,
2023-06-16 20:57:56.731551,ct,0:00:00.877891,correct comission
2023-06-16 20:57:57.472798,,,
2023-06-16 20:57:57.545261,mt,,comission error
2023-06-16 20:57:58.237638,,,
2023-06-16 20:57:58.363449,ct,0:00:00.692377,correct comission
2023-06-16 20:57:59.112812,,,
2023-06-16 20:57:59.177517,ct,0:00:00.749363,correct comission
2023-06-16 20:57:59.950274,,,
2023-06-16 20:57:59.995346,ct,0:00:00.772757,correct comission
2023-06-16 20:58:00.810739,,,
2023-06-16 20:58:00.814990,ct,0:00:00.815393,correct comission
2023-06-16 20:58:01.528749,,,
2023-06-16 20:58:01.630394,ct,0:00:00.713759,correct comission
2023-06-16 20:58:02.366878,,,
2023-06-16 20:58:02.446872,ct,0:00:00.736484,correct comission
2023-06-16 20:58:03.232459,,,
2023-06-16 20:58:03.267445,ct,0:00:00.785587,correct comission
2023-06-16 20:58:04.060307,,,
2023-06-16 20:58:04.084955,ct,0:00:00.792862,correct comission
2023-06-16 20:58:04.809770,,,
2023-06-16 20:58:04.899865,ct,0:00:00.724815,correct comission
2023-06-16 20:58:05.535511,,,
2023-06-16 20:58:05.715888,ct,0:00:00.635646,correct comission
2023-06-16 20:58:06.460917,,,
2023-06-16 20:58:06.527446,mt,,comission error
2023-06-16 20:58:07.361734,,,
2023-06-16 20:58:07.350044,ct,0:00:00.834288,correct comission
2023-06-16 20:58:08.268251,,,
2023-06-16 20:58:08.169197,ct,0:00:00.918207,correct comission
2023-06-16 20:58:09.246157,,,
2023-06-16 20:58:08.985818,ct,0:00:01.076960,correct comission
2023-06-16 20:58:09.946980,,,
2023-06-16 20:58:09.805081,mt,,comission error
2023-06-16 20:58:10.619381,ct,,omission error
2023-06-16 20:58:11.099453,,,
2023-06-16 20:58:11.429094,ct,0:00:00.480072,correct comission
2023-06-16 20:58:12.026361,,,
2023-06-16 20:58:12.246942,ct,0:00:00.597267,correct comission
2023-06-16 20:58:13.018844,,,
2023-06-16 20:58:13.062226,ct,0:00:00.771902,correct comission
2023-06-16 20:58:13.856203,,,
2023-06-16 20:58:13.878416,ct,0:00:00.793977,correct comission
2023-06-16 20:58:14.707377,,,
2023-06-16 20:58:14.695657,ct,0:00:00.828961,correct comission
2023-06-16 20:58:15.456994,,,
2023-06-16 20:58:15.518414,ct,0:00:00.761337,correct comission
2023-06-16 20:58:16.415115,,,
2023-06-16 20:58:16.326867,ct,0:00:00.896701,correct comission
2023-06-16 20:58:17.198870,,,
2023-06-16 20:58:17.144074,ct,0:00:00.872003,correct comission
2023-06-16 20:58:17.985111,,,
2023-06-16 20:58:17.962158,ct,0:00:00.841037,correct comission
2023-06-16 20:58:18.781786,,,
2023-06-16 20:58:18.786406,ct,0:00:00.819628,correct comission
2023-06-16 20:58:19.629895,,,
2023-06-16 20:58:19.607431,ct,0:00:00.843489,correct comission
2023-06-16 20:58:20.464823,,,
2023-06-16 20:58:20.420435,ct,0:00:00.857392,correct comission
2023-06-16 20:58:21.313379,,,
2023-06-16 20:58:21.235476,ct,0:00:00.892944,correct comission
2023-06-16 20:58:22.148162,,,
2023-06-16 20:58:22.050683,mt,,comission error
2023-06-16 20:58:22.864893,ct,,omission error
2023-06-16 20:58:23.307737,,,
2023-06-16 20:58:23.681829,ct,0:00:00.442844,correct comission
2023-06-16 20:58:24.290890,,,
2023-06-16 20:58:24.496675,ct,0:00:00.609061,correct comission
2023-06-16 20:58:25.108365,,,
2023-06-16 20:58:25.314366,ct,0:00:00.611690,correct comission
2023-06-16 20:58:25.941858,,,
2023-06-16 20:58:26.131997,mt,,comission error
2023-06-16 20:58:26.786827,,,
2023-06-16 20:58:26.948318,ct,0:00:00.654830,correct comission
2023-06-16 20:58:27.791739,,,
2023-06-16 20:58:27.768896,ct,0:00:00.843421,correct comission
2023-06-16 20:58:28.610093,,,
2023-06-16 20:58:28.587098,ct,0:00:00.841197,correct comission
2023-06-16 20:58:29.406027,,,
2023-06-16 20:58:29.408361,ct,0:00:00.818929,correct comission
2023-06-16 20:58:30.156764,,,
2023-06-16 20:58:30.227495,ct,0:00:00.748403,correct comission
2023-06-16 20:58:31.027269,,,
2023-06-16 20:58:31.040755,ct,0:00:00.799774,correct comission
2023-06-16 20:58:31.821003,,,
2023-06-16 20:58:31.858019,ct,0:00:00.780248,correct comission
2023-06-16 20:58:32.722061,,,
2023-06-16 20:58:32.676901,ct,0:00:00.864042,correct comission
2023-06-16 20:58:33.502794,,,
2023-06-16 20:58:33.489773,ct,0:00:00.825893,correct comission
2023-06-16 20:58:34.289183,,,
2023-06-16 20:58:34.303614,ct,0:00:00.799410,correct comission
2023-06-16 20:58:35.086312,,,
2023-06-16 20:58:35.120941,ct,0:00:00.782698,correct comission
2023-06-16 20:58:35.972841,,,
2023-06-16 20:58:35.939702,ct,0:00:00.851900,correct comission
2023-06-16 20:58:36.836603,,,
2023-06-16 20:58:36.759348,ct,0:00:00.896901,correct comission
2023-06-16 20:58:37.661946,,,
2023-06-16 20:58:37.574043,mt,,comission error
2023-06-16 20:58:38.392787,ct,,omission error
2023-06-16 20:58:38.784651,,,
2023-06-16 20:58:39.204386,ct,0:00:00.391864,correct comission
2023-06-16 20:58:39.793566,,,
2023-06-16 20:58:40.023724,ct,0:00:00.589180,correct comission
2023-06-16 20:58:40.614436,,,
2023-06-16 20:58:40.837488,ct,0:00:00.590712,correct comission
2023-06-16 20:58:41.555116,,,
2023-06-16 20:58:41.654706,ct,0:00:00.717628,correct comission
2023-06-16 20:58:42.373171,,,
2023-06-16 20:58:42.473015,ct,0:00:00.718465,correct comission
2023-06-16 20:58:43.362524,,,
2023-06-16 20:58:43.286845,ct,0:00:00.889509,correct comission
2023-06-16 20:58:44.242858,,,
2023-06-16 20:58:44.110969,ct,0:00:00.956013,correct comission
2023-06-16 20:58:45.215638,,,
2023-06-16 20:58:44.926605,mt,,comission error
2023-06-16 20:58:45.746441,ct,,omission error
2023-06-16 20:58:46.245339,,,
2023-06-16 20:58:46.566592,ct,0:00:00.498898,correct comission
2023-06-16 20:58:47.135562,,,
2023-06-16 20:58:47.380795,ct,0:00:00.568970,correct comission
2023-06-16 20:58:48.054516,,,
2023-06-16 20:58:48.200091,ct,0:00:00.673721,correct comission
2023-06-16 20:58:49.114370,,,
2023-06-16 20:58:49.027115,ct,0:00:00.914279,correct comission
2023-06-16 20:58:49.985013,,,
2023-06-16 20:58:49.840475,mt,,comission error
2023-06-16 20:58:50.821759,,,
2023-06-16 20:58:50.660269,ct,0:00:00.981284,correct comission
2023-06-16 20:58:51.473100,ct,,omission error
2023-06-16 20:58:52.000451,,,
2023-06-16 20:58:52.287272,ct,0:00:00.527351,correct comission
2023-06-16 20:58:53.018256,,,
2023-06-16 20:58:53.107927,ct,0:00:00.730984,correct comission
2023-06-16 20:58:53.969242,,,
2023-06-16 20:58:53.924828,ct,0:00:00.861315,correct comission
2023-06-16 20:58:54.970220,,,
2023-06-16 20:58:54.747197,ct,0:00:01.045392,correct comission
2023-06-16 20:58:55.673013,,,
2023-06-16 20:58:55.559232,ct,0:00:00.925816,correct comission
2023-06-16 20:58:56.433587,,,
2023-06-16 20:58:56.376440,ct,0:00:00.874355,correct comission
2023-06-16 20:58:57.219011,,,
2023-06-16 20:58:57.195550,ct,0:00:00.842571,correct comission
2023-06-16 20:58:57.912062,,,
2023-06-16 20:58:58.012693,ct,0:00:00.716512,correct comission
2023-06-16 20:58:58.681052,,,
2023-06-16 20:58:58.829288,ct,0:00:00.668359,correct comission
2023-06-16 20:58:59.576816,,,
2023-06-16 20:58:59.646022,ct,0:00:00.747528,correct comission
2023-06-16 20:59:00.487215,,,
2023-06-16 20:59:00.464995,mt,,comission error
2023-06-16 20:59:01.283578,ct,,omission error
2023-06-16 20:59:01.861403,,,
2023-06-16 20:59:02.100283,ct,0:00:00.577825,correct comission
2023-06-16 20:59:02.792766,,,
2023-06-16 20:59:02.914615,ct,0:00:00.692483,correct comission
2023-06-16 20:59:03.452280,,,
2023-06-16 20:59:03.738151,ct,0:00:00.537665,correct comission
2023-06-16 20:59:04.267185,,,
2023-06-16 20:59:04.556269,ct,0:00:00.529034,correct comission
2023-06-16 20:59:05.225977,,,
2023-06-16 20:59:05.370427,ct,0:00:00.669708,correct comission
2023-06-16 20:59:06.106638,,,
2023-06-16 20:59:06.188034,mt,,comission error
2023-06-16 20:59:06.917898,,,
2023-06-16 20:59:06.998179,ct,0:00:00.729864,correct comission
2023-06-16 20:59:08.137325,,,
2023-06-16 20:59:07.818182,ct,0:00:01.139146,correct comission
2023-06-16 20:59:08.630143,ct,,omission error
2023-06-16 20:59:09.028913,,,
2023-06-16 20:59:09.455374,ct,0:00:00.398770,correct comission
2023-06-16 20:59:10.132150,,,
2023-06-16 20:59:10.268795,ct,0:00:00.676776,correct comission
2023-06-16 20:59:11.225284,,,
2023-06-16 20:59:11.085042,ct,0:00:00.956489,correct comission
2023-06-16 20:59:12.148128,,,
2023-06-16 20:59:11.909207,ct,0:00:01.063086,correct comission
2023-06-16 20:59:13.034635,,,
2023-06-16 20:59:12.730452,ct,0:00:01.125428,correct comission
2023-06-16 20:59:13.843869,,,
2023-06-16 20:59:13.544491,ct,0:00:01.113417,correct comission
2023-06-16 20:59:14.563943,,,
2023-06-16 20:59:14.357040,ct,0:00:01.019452,correct comission
2023-06-16 20:59:15.173377,ct,,omission error
2023-06-16 20:59:15.578624,,,
2023-06-16 20:59:15.993583,ct,0:00:00.405247,correct comission
2023-06-16 20:59:16.476586,,,
2023-06-16 20:59:16.807960,ct,0:00:00.483003,correct comission
2023-06-16 20:59:17.454457,,,
2023-06-16 20:59:17.625180,mt,,comission error
2023-06-16 20:59:18.421370,,,
2023-06-16 20:59:18.444965,ct,0:00:00.796190,correct comission
2023-06-16 20:59:19.512924,,,
2023-06-16 20:59:19.262792,ct,0:00:01.067959,correct comission
2023-06-16 20:59:20.080595,ct,,omission error
2023-06-16 20:59:20.407015,,,
2023-06-16 20:59:20.898060,ct,0:00:00.326420,correct comission
2023-06-16 20:59:21.482960,,,
2023-06-16 20:59:21.716981,ct,0:00:00.584900,correct comission
2023-06-16 20:59:22.349352,,,
2023-06-16 20:59:22.532877,ct,0:00:00.632371,correct comission
2023-06-16 20:59:23.321171,,,
2023-06-16 20:59:23.350674,ct,0:00:00.788294,correct comission
2023-06-16 20:59:24.166709,,,
2023-06-16 20:59:24.170588,ct,0:00:00.816035,correct comission
2023-06-16 20:59:24.919128,,,
2023-06-16 20:59:24.989205,ct,0:00:00.748540,correct comission
2023-06-16 20:59:25.815910,,,
2023-06-16 20:59:25.820070,ct,0:00:00.826705,correct comission
2023-06-16 20:59:26.620049,,,
2023-06-16 20:59:26.633945,mt,,comission error
2023-06-16 20:59:27.456845,ct,,omission error
2023-06-16 20:59:27.834713,,,
2023-06-16 20:59:28.275897,ct,0:00:00.377868,correct comission
2023-06-16 20:59:28.870482,,,
2023-06-16 20:59:29.092826,ct,0:00:00.594585,correct comission
2023-06-16 20:59:29.820497,,,
2023-06-16 20:59:29.911814,ct,0:00:00.727671,correct comission
2023-06-16 20:59:30.504929,,,
2023-06-16 20:59:30.738453,ct,0:00:00.593115,correct comission
2023-06-16 20:59:31.401908,,,
2023-06-16 20:59:31.552424,ct,0:00:00.663455,correct comission
2023-06-16 20:59:32.264193,,,
2023-06-16 20:59:32.367229,ct,0:00:00.711769,correct comission
2023-06-16 20:59:33.115236,,,
2023-06-16 20:59:33.197556,ct,0:00:00.748007,correct comission
2023-06-16 20:59:34.015560,,,
2023-06-16 20:59:34.021001,ct,0:00:00.818004,correct comission
2023-06-16 20:59:34.906088,,,
2023-06-16 20:59:34.839920,mt,,comission error
2023-06-16 20:59:35.666573,ct,,omission error
2023-06-16 20:59:36.125912,,,
2023-06-16 20:59:36.480500,ct,0:00:00.459339,correct comission
2023-06-16 20:59:37.028275,,,
2023-06-16 20:59:37.294949,ct,0:00:00.547775,correct comission
2023-06-16 20:59:37.949954,,,
2023-06-16 20:59:38.120272,ct,0:00:00.655005,correct comission
2023-06-16 20:59:38.791178,,,
2023-06-16 20:59:38.936767,mt,,comission error
2023-06-16 20:59:39.710625,,,
2023-06-16 20:59:39.756107,ct,0:00:00.773858,correct comission
2023-06-16 20:59:40.780347,,,
2023-06-16 20:59:40.577042,ct,0:00:01.024240,correct comission
2023-06-16 20:59:41.394674,ct,,omission error
2023-06-16 20:59:41.789667,,,
2023-06-16 20:59:42.219757,ct,0:00:00.394993,correct comission
2023-06-16 20:59:42.688660,,,
2023-06-16 20:59:43.044234,ct,0:00:00.468903,correct comission
2023-06-16 20:59:43.619354,,,
2023-06-16 20:59:43.872023,ct,0:00:00.575120,correct comission
2023-06-16 20:59:44.536544,,,
2023-06-16 20:59:44.692769,ct,0:00:00.664521,correct comission
2023-06-16 20:59:45.486018,,,
2023-06-16 20:59:45.506785,ct,0:00:00.793249,correct comission
2023-06-16 20:59:46.417613,,,
2023-06-16 20:59:46.320280,ct,0:00:00.910828,correct comission
2023-06-16 20:59:47.324208,,,
2023-06-16 20:59:47.137318,ct,0:00:01.003928,correct comission
2023-06-16 20:59:48.221209,,,
2023-06-16 20:59:47.960582,ct,0:00:01.083891,correct comission
2023-06-16 20:59:49.081743,,,
