time,tag,tr,flag
2023-06-16 21:13:53.483740,ct,,
2023-06-16 21:13:54.024599,,,
2023-06-16 21:13:54.282165,mt,,comission error
2023-06-16 21:13:54.842291,,,
2023-06-16 21:13:55.086879,ct,0:00:00.560126,correct comission
2023-06-16 21:13:55.842461,,,
2023-06-16 21:13:55.897999,ct,0:00:00.755582,correct comission
2023-06-16 21:13:56.753686,,,
2023-06-16 21:13:56.709409,ct,0:00:00.855687,correct comission
2023-06-16 21:13:57.642130,,,
2023-06-16 21:13:57.529091,ct,0:00:00.932721,correct comission
2023-06-16 21:13:58.542399,,,
2023-06-16 21:13:58.344163,ct,0:00:01.013308,correct comission
2023-06-16 21:13:59.282962,,,
2023-06-16 21:13:59.165679,ct,0:00:00.938799,correct comission
2023-06-16 21:14:00.082649,,,
2023-06-16 21:13:59.973830,ct,0:00:00.916970,correct comission
2023-06-16 21:14:00.894000,,,
2023-06-16 21:14:00.785608,ct,0:00:00.920170,correct comission
2023-06-16 21:14:01.619953,,,
2023-06-16 21:14:01.593568,ct,0:00:00.834345,correct comission
2023-06-16 21:14:02.539477,,,
2023-06-16 21:14:02.406540,ct,0:00:00.945909,correct comission
2023-06-16 21:14:03.267182,,,
2023-06-16 21:14:03.212436,ct,0:00:00.860642,correct comission
2023-06-16 21:14:04.064833,,,
2023-06-16 21:14:04.011413,ct,0:00:00.852397,correct comission
2023-06-16 21:14:04.946349,,,
2023-06-16 21:14:04.834428,ct,0:00:00.934936,correct comission
2023-06-16 21:14:05.697800,,,
2023-06-16 21:14:05.642114,mt,,comission error
2023-06-16 21:14:06.460385,ct,,omission error
2023-06-16 21:14:07.034372,,,
2023-06-16 21:14:07.273080,ct,0:00:00.573987,correct comission
2023-06-16 21:14:08.092367,,,
2023-06-16 21:14:08.080464,ct,0:00:00.819287,correct comission
2023-06-16 21:14:09.002868,,,
2023-06-16 21:14:08.893577,ct,0:00:00.922404,correct comission
2023-06-16 21:14:09.972954,,,
2023-06-16 21:14:09.707998,ct,0:00:01.079377,correct comission
2023-06-16 21:14:10.765531,,,
2023-06-16 21:14:10.517144,ct,0:00:01.057533,correct comission
2023-06-16 21:14:11.327164,ct,,omission error
2023-06-16 21:14:11.810839,,,
2023-06-16 21:14:12.144744,ct,0:00:00.483675,correct comission
2023-06-16 21:14:12.717096,,,
2023-06-16 21:14:12.955264,ct,0:00:00.572352,correct comission
2023-06-16 21:14:13.611568,,,
2023-06-16 21:14:13.771046,ct,0:00:00.656304,correct comission
2023-06-16 21:14:14.482654,,,
2023-06-16 21:14:14.583276,ct,0:00:00.711608,correct comission
2023-06-16 21:14:15.362888,,,
2023-06-16 21:14:15.398520,ct,0:00:00.779612,correct comission
2023-06-16 21:14:16.260832,,,
2023-06-16 21:14:16.213491,mt,,comission error
2023-06-16 21:14:17.155547,,,
2023-06-16 21:14:17.024113,ct,0:00:00.942056,correct comission
2023-06-16 21:14:17.845800,ct,,omission error
