time,tag,tr,flag
2023-06-16 22:10:25.290184,ct,,
2023-06-16 22:10:25.984628,,,
2023-06-16 22:10:26.101008,ct,0 days 00:00:00.694444,correct comission
2023-06-16 22:10:26.989763,,,
2023-06-16 22:10:26.911655,ct,0 days 00:00:00.888755,correct comission
2023-06-16 22:10:27.844078,,,
2023-06-16 22:10:27.735532,mt,,comission error
2023-06-16 22:10:28.685940,,,
2023-06-16 22:10:28.539226,ct,0 days 00:00:00.950408,correct comission
2023-06-16 22:10:29.474658,,,
2023-06-16 22:10:29.343504,ct,0 days 00:00:00.935432,correct comission
2023-06-16 22:10:30.171215,,,
2023-06-16 22:10:30.155701,ct,0 days 00:00:00.827711,correct comission
2023-06-16 22:10:30.908694,,,
2023-06-16 22:10:30.964222,ct,0 days 00:00:00.752993,correct comission
2023-06-16 22:10:31.748069,,,
2023-06-16 22:10:31.778301,ct,0 days 00:00:00.783847,correct comission
2023-06-16 22:10:32.692891,,,
2023-06-16 22:10:32.594647,ct,0 days 00:00:00.914590,correct comission
2023-06-16 22:10:33.340420,,,
2023-06-16 22:10:33.405287,mt,,comission error
2023-06-16 22:10:34.271626,,,
2023-06-16 22:10:34.215179,ct,0 days 00:00:00.866339,correct comission
2023-06-16 22:10:35.124294,,,
2023-06-16 22:10:35.036022,ct,0 days 00:00:00.909115,correct comission
2023-06-16 22:10:35.905578,,,
2023-06-16 22:10:35.849941,ct,0 days 00:00:00.869556,correct comission
2023-06-16 22:10:36.768812,,,
2023-06-16 22:10:36.669276,ct,0 days 00:00:00.918871,correct comission
2023-06-16 22:10:37.439095,,,
2023-06-16 22:10:37.470948,ct,0 days 00:00:00.769819,correct comission
2023-06-16 22:10:38.339640,,,
2023-06-16 22:10:38.283232,ct,0 days 00:00:00.868692,correct comission
2023-06-16 22:10:39.052925,,,
2023-06-16 22:10:39.094536,ct,0 days 00:00:00.769693,correct comission
2023-06-16 22:10:39.853548,,,
2023-06-16 22:10:39.907694,ct,0 days 00:00:00.759012,correct comission
2023-06-16 22:10:40.834152,,,
2023-06-16 22:10:40.720737,ct,0 days 00:00:00.926458,correct comission
2023-06-16 22:10:41.500610,,,
2023-06-16 22:10:41.534718,ct,0 days 00:00:00.779873,correct comission
2023-06-16 22:10:42.334867,,,
2023-06-16 22:10:42.338705,ct,0 days 00:00:00.800149,correct comission
2023-06-16 22:10:43.121465,,,
2023-06-16 22:10:43.153525,ct,0 days 00:00:00.782760,correct comission
2023-06-16 22:10:44.067905,,,
2023-06-16 22:10:43.967603,mt,,comission error
2023-06-16 22:10:44.773056,ct,,omission error
2023-06-16 22:10:45.577992,,,
2023-06-16 22:10:45.583121,ct,0 days 00:00:00.804936,correct comission
2023-06-16 22:10:46.343454,,,
2023-06-16 22:10:46.396868,ct,0 days 00:00:00.760333,correct comission
2023-06-16 22:10:47.294530,,,
2023-06-16 22:10:47.218462,ct,0 days 00:00:00.897662,correct comission
2023-06-16 22:10:48.154914,,,
2023-06-16 22:10:48.031167,ct,0 days 00:00:00.936452,correct comission
2023-06-16 22:10:48.997900,,,
2023-06-16 22:10:48.843010,ct,0 days 00:00:00.966733,correct comission
2023-06-16 22:10:49.683161,,,
2023-06-16 22:10:49.648328,ct,0 days 00:00:00.840151,correct comission
2023-06-16 22:10:50.564796,,,
2023-06-16 22:10:50.462650,ct,0 days 00:00:00.916468,correct comission
2023-06-16 22:10:51.402057,,,
2023-06-16 22:10:51.267977,mt,,comission error
2023-06-16 22:10:52.077576,ct,,omission error
2023-06-16 22:10:52.866488,,,
2023-06-16 22:10:52.890244,ct,0 days 00:00:00.788912,correct comission
2023-06-16 22:10:53.607557,,,
2023-06-16 22:10:53.704751,ct,0 days 00:00:00.717313,correct comission
2023-06-16 22:10:54.389213,,,
2023-06-16 22:10:54.515668,ct,0 days 00:00:00.684462,correct comission
2023-06-16 22:10:55.304653,,,
2023-06-16 22:10:55.325402,ct,0 days 00:00:00.788985,correct comission
2023-06-16 22:10:56.112170,,,
2023-06-16 22:10:56.148881,ct,0 days 00:00:00.786768,correct comission
2023-06-16 22:10:56.807568,,,
2023-06-16 22:10:56.954424,ct,0 days 00:00:00.658687,correct comission
2023-06-16 22:10:57.830032,,,
2023-06-16 22:10:57.773299,ct,0 days 00:00:00.875608,correct comission
2023-06-16 22:10:58.566162,,,
2023-06-16 22:10:58.579036,ct,0 days 00:00:00.792863,correct comission
2023-06-16 22:10:59.352333,,,
2023-06-16 22:10:59.397414,ct,0 days 00:00:00.773297,correct comission
2023-06-16 22:11:00.148644,,,
2023-06-16 22:11:00.206477,ct,0 days 00:00:00.751230,correct comission
2023-06-16 22:11:00.976557,,,
2023-06-16 22:11:01.023264,ct,0 days 00:00:00.770080,correct comission
2023-06-16 22:11:01.759262,,,
2023-06-16 22:11:01.825493,ct,0 days 00:00:00.735998,correct comission
2023-06-16 22:11:02.889353,,,
2023-06-16 22:11:02.633229,mt,,comission error
2023-06-16 22:11:03.447542,ct,,omission error
2023-06-16 22:11:04.472423,,,
2023-06-16 22:11:04.262174,ct,0 days 00:00:01.024881,correct comission
2023-06-16 22:11:05.157540,,,
2023-06-16 22:11:05.077226,ct,0 days 00:00:00.895366,correct comission
2023-06-16 22:11:05.895233,,,
2023-06-16 22:11:05.898570,ct,0 days 00:00:00.818007,correct comission
2023-06-16 22:11:06.803368,,,
2023-06-16 22:11:06.715705,ct,0 days 00:00:00.904798,correct comission
2023-06-16 22:11:07.585985,,,
2023-06-16 22:11:07.530810,ct,0 days 00:00:00.870280,correct comission
2023-06-16 22:11:08.419006,,,
2023-06-16 22:11:08.339451,ct,0 days 00:00:00.888196,correct comission
2023-06-16 22:11:09.283340,,,
2023-06-16 22:11:09.149373,ct,0 days 00:00:00.943889,correct comission
2023-06-16 22:11:09.972931,,,
2023-06-16 22:11:09.961278,ct,0 days 00:00:00.823558,correct comission
2023-06-16 22:11:10.854176,,,
2023-06-16 22:11:10.774981,ct,0 days 00:00:00.892898,correct comission
2023-06-16 22:11:11.639049,,,
2023-06-16 22:11:11.580798,mt,,comission error
2023-06-16 22:11:12.393995,ct,,omission error
2023-06-16 22:11:13.284195,,,
2023-06-16 22:11:13.204709,ct,0 days 00:00:00.890200,correct comission
2023-06-16 22:11:13.921263,,,
2023-06-16 22:11:14.031011,ct,0 days 00:00:00.716554,correct comission
2023-06-16 22:11:14.954237,,,
2023-06-16 22:11:14.842233,ct,0 days 00:00:00.923226,correct comission
2023-06-16 22:11:15.578248,,,
2023-06-16 22:11:15.651141,ct,0 days 00:00:00.736015,correct comission
2023-06-16 22:11:16.406020,,,
2023-06-16 22:11:16.462490,ct,0 days 00:00:00.754879,correct comission
2023-06-16 22:11:17.510540,,,
2023-06-16 22:11:17.281450,ct,0 days 00:00:01.048050,correct comission
2023-06-16 22:11:18.171895,,,
2023-06-16 22:11:18.104040,mt,,comission error
2023-06-16 22:11:18.918996,ct,,omission error
2023-06-16 22:11:19.560351,,,
2023-06-16 22:11:19.741773,ct,0 days 00:00:00.641355,correct comission
2023-06-16 22:11:20.378111,,,
2023-06-16 22:11:20.567865,ct,0 days 00:00:00.636338,correct comission
2023-06-16 22:11:21.234372,,,
2023-06-16 22:11:21.377364,ct,0 days 00:00:00.666507,correct comission
2023-06-16 22:11:22.148945,,,
2023-06-16 22:11:22.187779,ct,0 days 00:00:00.771581,correct comission
2023-06-16 22:11:22.900285,,,
2023-06-16 22:11:22.997488,ct,0 days 00:00:00.712506,correct comission
2023-06-16 22:11:23.782077,,,
2023-06-16 22:11:23.813787,ct,0 days 00:00:00.784589,correct comission
2023-06-16 22:11:24.604907,,,
