time,tag,tr,flag
2023-06-21 12:38:50.923622,ct,,
2023-06-21 12:38:51.827890,,,
2023-06-21 12:38:51.729021,ct,0 days 00:00:00.904268,correct comission
2023-06-21 12:38:52.469904,,,
2023-06-21 12:38:52.537434,mt,,comission error
2023-06-21 12:38:53.347563,ct,,omission error
2023-06-21 12:38:54.011505,,,
2023-06-21 12:38:54.158248,ct,0 days 00:00:00.663942,correct comission
2023-06-21 12:38:54.989468,,,
2023-06-21 12:38:54.966107,ct,0 days 00:00:00.831220,correct comission
2023-06-21 12:38:55.768501,,,
2023-06-21 12:38:55.781711,ct,0 days 00:00:00.802394,correct comission
2023-06-21 12:38:56.549268,,,
2023-06-21 12:38:56.585604,ct,0 days 00:00:00.767557,correct comission
2023-06-21 12:38:57.367749,,,
2023-06-21 12:38:57.390366,ct,0 days 00:00:00.782145,correct comission
2023-06-21 12:38:58.505765,,,
2023-06-21 12:38:58.199477,ct,0 days 00:00:01.115399,correct comission
2023-06-21 12:38:58.990904,,,
2023-06-21 12:38:59.016758,ct,0 days 00:00:00.791427,correct comission
2023-06-21 12:38:59.958169,,,
2023-06-21 12:38:59.836593,ct,0 days 00:00:00.941411,correct comission
2023-06-21 12:39:00.651887,mt,,correct omission
2023-06-21 12:39:01.015727,,,
2023-06-21 12:39:01.468495,ct,0 days 00:00:00.363840,correct comission
2023-06-21 12:39:02.282399,,,
2023-06-21 12:39:02.285437,ct,0 days 00:00:00.813904,correct comission
2023-06-21 12:39:02.956818,,,
2023-06-21 12:39:03.106990,ct,0 days 00:00:00.671381,correct comission
2023-06-21 12:39:03.883027,,,
2023-06-21 12:39:03.919834,ct,0 days 00:00:00.776037,correct comission
2023-06-21 12:39:04.869624,,,
2023-06-21 12:39:04.736253,ct,0 days 00:00:00.949790,correct comission
2023-06-21 12:39:05.562855,,,
2023-06-21 12:39:05.551165,ct,0 days 00:00:00.826602,correct comission
2023-06-21 12:39:06.392388,,,
2023-06-21 12:39:06.369930,ct,0 days 00:00:00.841223,correct comission
2023-06-21 12:39:07.404193,,,
2023-06-21 12:39:07.191793,ct,0 days 00:00:01.034263,correct comission
2023-06-21 12:39:08.040526,,,
2023-06-21 12:39:08.007240,ct,0 days 00:00:00.848733,correct comission
2023-06-21 12:39:08.758593,,,
2023-06-21 12:39:08.826690,ct,0 days 00:00:00.751353,correct comission
2023-06-21 12:39:09.705543,,,
2023-06-21 12:39:09.649066,ct,0 days 00:00:00.878853,correct comission
2023-06-21 12:39:10.538175,,,
2023-06-21 12:39:10.470317,mt,,comission error
2023-06-21 12:39:11.291032,ct,,omission error
2023-06-21 12:39:12.014177,,,
2023-06-21 12:39:12.107985,ct,0 days 00:00:00.723145,correct comission
2023-06-21 12:39:12.926020,ct,,omission error
2023-06-21 12:39:13.849785,,,
2023-06-21 12:39:13.751498,ct,0 days 00:00:00.923765,correct comission
2023-06-21 12:39:14.120141,,,
2023-06-21 12:39:14.564122,ct,0 days 00:00:00.368643,correct comission
2023-06-21 12:39:14.892467,,,
2023-06-21 12:39:15.373189,ct,0 days 00:00:00.328345,correct comission
2023-06-21 12:39:16.498118,,,
2023-06-21 12:39:16.188767,ct,0 days 00:00:01.124929,correct comission
2023-06-21 12:39:17.064938,,,
2023-06-21 12:39:16.998205,ct,0 days 00:00:00.876171,correct comission
2023-06-21 12:39:17.832208,,,
2023-06-21 12:39:17.810026,ct,0 days 00:00:00.834003,correct comission
2023-06-21 12:39:18.664430,,,
2023-06-21 12:39:18.619413,ct,0 days 00:00:00.854404,correct comission
2023-06-21 12:39:19.406243,,,
2023-06-21 12:39:19.432120,ct,0 days 00:00:00.786830,correct comission
2023-06-21 12:39:20.141806,,,
2023-06-21 12:39:20.242937,ct,0 days 00:00:00.709686,correct comission
2023-06-21 12:39:20.873596,,,
2023-06-21 12:39:21.053660,mt,,comission error
2023-06-21 12:39:21.866739,ct,,omission error
2023-06-21 12:39:22.681374,,,
2023-06-21 12:39:22.685312,ct,0 days 00:00:00.814635,correct comission
2023-06-21 12:39:23.538261,,,
2023-06-21 12:39:23.494239,mt,,comission error
2023-06-21 12:39:24.305989,ct,,omission error
2023-06-21 12:39:25.051879,,,
2023-06-21 12:39:25.108221,ct,0 days 00:00:00.745890,correct comission
2023-06-21 12:39:25.995268,,,
2023-06-21 12:39:25.919135,ct,0 days 00:00:00.887047,correct comission
2023-06-21 12:39:26.764737,,,
2023-06-21 12:39:26.731656,ct,0 days 00:00:00.845602,correct comission
2023-06-21 12:39:27.837940,,,
2023-06-21 12:39:27.548494,ct,0 days 00:00:01.106284,correct comission
2023-06-21 12:39:28.482787,,,
2023-06-21 12:39:28.361167,ct,0 days 00:00:00.934293,correct comission
2023-06-21 12:39:29.241928,,,
2023-06-21 12:39:29.166103,ct,0 days 00:00:00.880761,correct comission
2023-06-21 12:39:29.919830,,,
2023-06-21 12:39:29.977586,ct,0 days 00:00:00.753727,correct comission
2023-06-21 12:39:30.859199,,,
2023-06-21 12:39:30.781824,ct,0 days 00:00:00.881613,correct comission
2023-06-21 12:39:31.633510,,,
2023-06-21 12:39:31.589884,ct,0 days 00:00:00.851686,correct comission
2023-06-21 12:39:32.370280,,,
2023-06-21 12:39:32.395160,ct,0 days 00:00:00.780396,correct comission
2023-06-21 12:39:33.233095,,,
2023-06-21 12:39:33.210771,ct,0 days 00:00:00.837935,correct comission
2023-06-21 12:39:33.938452,,,
2023-06-21 12:39:34.023352,ct,0 days 00:00:00.727681,correct comission
2023-06-21 12:39:34.716689,,,
2023-06-21 12:39:34.830661,ct,0 days 00:00:00.693337,correct comission
2023-06-21 12:39:35.617125,,,
2023-06-21 12:39:35.641888,mt,,comission error
2023-06-21 12:39:36.417368,,,
2023-06-21 12:39:36.452648,ct,0 days 00:00:00.775480,correct comission
2023-06-21 12:39:37.364220,,,
2023-06-21 12:39:37.264567,ct,0 days 00:00:00.911572,correct comission
2023-06-21 12:39:38.146744,,,
2023-06-21 12:39:38.069039,ct,0 days 00:00:00.882177,correct comission
2023-06-21 12:39:39.060165,,,
2023-06-21 12:39:38.882441,ct,0 days 00:00:00.991126,correct comission
2023-06-21 12:39:39.777895,,,
2023-06-21 12:39:39.689796,ct,0 days 00:00:00.895454,correct comission
2023-06-21 12:39:40.397204,,,
2023-06-21 12:39:40.499344,ct,0 days 00:00:00.707408,correct comission
2023-06-21 12:39:41.267562,,,
2023-06-21 12:39:41.314205,ct,0 days 00:00:00.768218,correct comission
2023-06-21 12:39:42.172585,,,
2023-06-21 12:39:42.126667,ct,0 days 00:00:00.858380,correct comission
2023-06-21 12:39:42.996386,,,
2023-06-21 12:39:42.941492,mt,,comission error
2023-06-21 12:39:43.753038,ct,,omission error
2023-06-21 12:39:44.495679,,,
2023-06-21 12:39:44.566477,ct,0 days 00:00:00.742641,correct comission
2023-06-21 12:39:45.682832,,,
2023-06-21 12:39:45.380074,ct,0 days 00:00:01.116355,correct comission
2023-06-21 12:39:46.368936,,,
2023-06-21 12:39:46.193122,ct,0 days 00:00:00.988862,correct comission
2023-06-21 12:39:47.015525,,,
2023-06-21 12:39:47.002666,ct,0 days 00:00:00.822403,correct comission
2023-06-21 12:39:47.884496,,,
2023-06-21 12:39:47.807916,ct,0 days 00:00:00.881830,correct comission
2023-06-21 12:39:48.625576,,,
