time,tag,tr,flag
2023-06-01 17:25:28.392634,ct,,
2023-06-01 17:25:29.405702,,,
2023-06-01 17:25:29.206521,ct,0 days 00:00:01.013068,correct comission
2023-06-01 17:25:30.118646,,,
2023-06-01 17:25:30.028631,mt,,comission error
2023-06-01 17:25:30.854263,ct,,omission error
2023-06-01 17:25:31.648479,,,
2023-06-01 17:25:31.675197,ct,0 days 00:00:00.794216,correct comission
2023-06-01 17:25:32.688242,,,
2023-06-01 17:25:32.498909,ct,0 days 00:00:01.013045,correct comission
2023-06-01 17:25:33.405649,,,
2023-06-01 17:25:33.330304,ct,0 days 00:00:00.906740,correct comission
2023-06-01 17:25:34.148857,ct,,omission error
2023-06-01 17:25:34.568235,,,
2023-06-01 17:25:34.963935,ct,0 days 00:00:00.419378,correct comission
2023-06-01 17:25:35.345920,,,
2023-06-01 17:25:35.780906,ct,0 days 00:00:00.381985,correct comission
2023-06-01 17:25:36.876480,,,
2023-06-01 17:25:36.598941,ct,0 days 00:00:01.095574,correct comission
2023-06-01 17:25:37.721658,,,
2023-06-01 17:25:37.422590,ct,0 days 00:00:01.122717,correct comission
2023-06-01 17:25:38.553107,,,
2023-06-01 17:25:38.237592,ct,0 days 00:00:01.130517,correct comission
2023-06-01 17:25:39.209440,,,
2023-06-01 17:25:39.054378,ct,0 days 00:00:00.971848,correct comission
2023-06-01 17:25:39.992868,,,
2023-06-01 17:25:39.867058,mt,,comission error
2023-06-01 17:25:40.682627,ct,,omission error
2023-06-01 17:25:41.260759,,,
2023-06-01 17:25:41.498814,ct,0 days 00:00:00.578132,correct comission
2023-06-01 17:25:42.185223,,,
2023-06-01 17:25:42.325661,ct,0 days 00:00:00.686409,correct comission
2023-06-01 17:25:43.311991,,,
2023-06-01 17:25:43.142719,ct,0 days 00:00:00.986330,correct comission
2023-06-01 17:25:44.067249,,,
2023-06-01 17:25:43.969178,ct,0 days 00:00:00.924530,correct comission
2023-06-01 17:25:44.847306,,,
2023-06-01 17:25:44.782435,ct,0 days 00:00:00.878128,correct comission
2023-06-01 17:25:45.747234,,,
2023-06-01 17:25:45.604046,ct,0 days 00:00:00.964799,correct comission
2023-06-01 17:25:46.634385,,,
2023-06-01 17:25:46.420914,ct,0 days 00:00:01.030339,correct comission
2023-06-01 17:25:47.436823,,,
2023-06-01 17:25:47.234963,ct,0 days 00:00:01.015909,correct comission
2023-06-01 17:25:48.283619,,,
2023-06-01 17:25:48.060252,ct,0 days 00:00:01.048656,correct comission
2023-06-01 17:25:49.059148,,,
