time,tag,tr,flag
2023-06-01 18:15:32.634280,ct,,
2023-06-01 18:15:33.268604,,,
2023-06-01 18:15:33.451577,ct,0 days 00:00:00.634324,correct comission
2023-06-01 18:15:33.985500,,,
2023-06-01 18:15:34.280784,ct,0 days 00:00:00.533923,correct comission
2023-06-01 18:15:35.297306,,,
2023-06-01 18:15:35.119650,ct,0 days 00:00:01.016522,correct comission
2023-06-01 18:15:36.037059,,,
2023-06-01 18:15:35.953166,ct,0 days 00:00:00.917409,correct comission
2023-06-01 18:15:36.766832,,,
2023-06-01 18:15:36.779556,mt,,comission error
2023-06-01 18:15:37.662627,,,
2023-06-01 18:15:37.606693,ct,0 days 00:00:00.883071,correct comission
2023-06-01 18:15:38.536020,,,
2023-06-01 18:15:38.431719,ct,0 days 00:00:00.929327,correct comission
2023-06-01 18:15:39.441603,,,
2023-06-01 18:15:39.259443,ct,0 days 00:00:01.009884,correct comission
2023-06-01 18:15:40.383450,,,
2023-06-01 18:15:40.086037,ct,0 days 00:00:01.124007,correct comission
2023-06-01 18:15:40.913410,ct,,omission error
2023-06-01 18:15:41.284742,,,
2023-06-01 18:15:41.742558,ct,0 days 00:00:00.371332,correct comission
2023-06-01 18:15:42.671981,,,
2023-06-01 18:15:42.572518,ct,0 days 00:00:00.929423,correct comission
2023-06-01 18:15:43.588688,,,
2023-06-01 18:15:43.398927,ct,0 days 00:00:01.016170,correct comission
2023-06-01 18:15:44.323139,,,
2023-06-01 18:15:44.242873,mt,,comission error
2023-06-01 18:15:45.082634,ct,,omission error
2023-06-01 18:15:45.707102,,,
2023-06-01 18:15:45.916453,ct,0 days 00:00:00.624468,correct comission
2023-06-01 18:15:46.951191,,,
2023-06-01 18:15:46.759519,ct,0 days 00:00:01.034738,correct comission
2023-06-01 18:15:47.776124,,,
2023-06-01 18:15:47.601865,ct,0 days 00:00:01.016605,correct comission
2023-06-01 18:15:48.712555,,,
2023-06-01 18:15:48.429777,ct,0 days 00:00:01.110690,correct comission
2023-06-01 18:15:49.248536,ct,,omission error
2023-06-01 18:15:50.138177,,,
2023-06-01 18:15:50.081295,ct,0 days 00:00:00.889641,correct comission
2023-06-01 18:15:51.078774,,,
2023-06-01 18:15:50.910514,ct,0 days 00:00:00.997479,correct comission
2023-06-01 18:15:52.051867,,,
2023-06-01 18:15:51.743650,ct,0 days 00:00:01.141353,correct comission
2023-06-01 18:15:52.581742,ct,,omission error
2023-06-01 18:15:52.913314,,,
2023-06-01 18:15:53.424121,ct,0 days 00:00:00.331572,correct comission
2023-06-01 18:15:54.484643,,,
2023-06-01 18:15:54.253779,ct,0 days 00:00:01.060522,correct comission
2023-06-01 18:15:55.074203,ct,,omission error
2023-06-01 18:15:55.416477,,,
2023-06-01 18:15:55.906500,mt,,comission error
2023-06-01 18:15:56.734266,ct,,omission error
2023-06-01 18:15:57.595312,,,
2023-06-01 18:15:57.562081,ct,0 days 00:00:00.861046,correct comission
2023-06-01 18:15:58.651392,,,
2023-06-01 18:15:58.377424,mt,,comission error
2023-06-01 18:15:59.196613,ct,,omission error
2023-06-01 18:15:59.546417,,,
2023-06-01 18:16:00.026766,ct,0 days 00:00:00.349804,correct comission
2023-06-01 18:16:00.697956,,,
2023-06-01 18:16:00.846965,ct,0 days 00:00:00.671190,correct comission
2023-06-01 18:16:01.764979,,,
2023-06-01 18:16:01.665000,ct,0 days 00:00:00.918014,correct comission
2023-06-01 18:16:02.568504,,,
2023-06-01 18:16:02.481140,ct,0 days 00:00:00.903504,correct comission
2023-06-01 18:16:03.516025,,,
2023-06-01 18:16:03.311329,ct,0 days 00:00:01.034885,correct comission
2023-06-01 18:16:04.147408,ct,,omission error
2023-06-01 18:16:04.663722,,,
2023-06-01 18:16:04.975240,ct,0 days 00:00:00.516314,correct comission
2023-06-01 18:16:05.799386,ct,,omission error
2023-06-01 18:16:06.220902,,,
2023-06-01 18:16:06.625979,ct,0 days 00:00:00.421516,correct comission
2023-06-01 18:16:07.573943,,,
2023-06-01 18:16:07.448868,ct,0 days 00:00:00.947964,correct comission
2023-06-01 18:16:08.271358,ct,,omission error
2023-06-01 18:16:08.597089,,,
2023-06-01 18:16:09.085508,ct,0 days 00:00:00.325731,correct comission
2023-06-01 18:16:10.157058,,,
