time,tag,tr,flag
2023-06-05 18:16:52.548464,ct,,
2023-06-05 18:16:53.385854,,,
2023-06-05 18:16:53.352612,mt,,comission error
2023-06-05 18:16:54.166805,ct,,omission error
2023-06-05 18:16:54.979979,,,
2023-06-05 18:16:54.983280,ct,0:00:00.813174,correct comission
2023-06-05 18:16:55.803338,ct,,omission error
2023-06-05 18:16:56.186149,,,
2023-06-05 18:16:56.621568,ct,0:00:00.382811,correct comission
2023-06-05 18:16:57.107874,,,
2023-06-05 18:16:57.440840,ct,0:00:00.486306,correct comission
2023-06-05 18:16:57.844416,,,
2023-06-05 18:16:58.259760,ct,0:00:00.403576,correct comission
2023-06-05 18:16:59.076319,ct,,omission error
2023-06-05 18:16:59.459948,,,
2023-06-05 18:16:59.891752,ct,0:00:00.383629,correct comission
2023-06-05 18:17:00.938751,,,
2023-06-05 18:17:00.701571,ct,0:00:01.046999,correct comission
2023-06-05 18:17:01.515009,ct,,omission error
2023-06-05 18:17:01.963629,,,
2023-06-05 18:17:02.329878,ct,0:00:00.448620,correct comission
2023-06-05 18:17:03.201467,,,
2023-06-05 18:17:03.144460,ct,0:00:00.871589,correct comission
2023-06-05 18:17:03.993634,,,
2023-06-05 18:17:03.960491,ct,0:00:00.849174,correct comission
2023-06-05 18:17:04.805298,,,
2023-06-05 18:17:04.780998,ct,0:00:00.844807,correct comission
2023-06-05 18:17:05.637775,,,
2023-06-05 18:17:05.593162,mt,,comission error
2023-06-05 18:17:06.414366,ct,,omission error
2023-06-05 18:17:07.304458,,,
2023-06-05 18:17:07.239627,ct,0:00:00.890092,correct comission
2023-06-05 18:17:08.149231,,,
2023-06-05 18:17:08.054452,ct,0:00:00.909604,correct comission
2023-06-05 18:17:08.873267,ct,,omission error
2023-06-05 18:17:09.206518,,,
2023-06-05 18:17:09.691569,ct,0:00:00.333251,correct comission
2023-06-05 18:17:10.771423,,,
2023-06-05 18:17:10.511362,ct,0:00:01.079854,correct comission
2023-06-05 18:17:11.573661,,,
2023-06-05 18:17:11.325817,ct,0:00:01.062299,correct comission
2023-06-05 18:17:12.363728,,,
2023-06-05 18:17:12.138580,ct,0:00:01.037911,correct comission
2023-06-05 18:17:12.953082,ct,,omission error
2023-06-05 18:17:13.304194,,,
2023-06-05 18:17:13.770927,mt,,comission error
2023-06-05 18:17:14.584008,ct,,omission error
2023-06-05 18:17:15.527241,,,
2023-06-05 18:17:15.403643,ct,0:00:00.943233,correct comission
2023-06-05 18:17:16.422632,,,
2023-06-05 18:17:16.220434,ct,0:00:01.018989,correct comission
2023-06-05 18:17:17.288710,,,
2023-06-05 18:17:17.039682,ct,0:00:01.068276,correct comission
2023-06-05 18:17:18.091097,,,
2023-06-05 18:17:17.862094,ct,0:00:01.051415,correct comission
2023-06-05 18:17:18.681086,ct,,omission error
2023-06-05 18:17:19.530010,,,
2023-06-05 18:17:19.497086,ct,0:00:00.848924,correct comission
2023-06-05 18:17:20.460660,,,
2023-06-05 18:17:20.318860,ct,0:00:00.963574,correct comission
2023-06-05 18:17:21.242249,,,
2023-06-05 18:17:21.129816,ct,0:00:00.923389,correct comission
2023-06-05 18:17:22.244056,,,
2023-06-05 18:17:21.950509,ct,0:00:01.114240,correct comission
2023-06-05 18:17:23.065311,,,
2023-06-05 18:17:22.773048,ct,0:00:01.114802,correct comission
2023-06-05 18:17:23.866910,,,
2023-06-05 18:17:23.589547,mt,,comission error
2023-06-05 18:17:24.408475,ct,,omission error
2023-06-05 18:17:25.271087,,,
2023-06-05 18:17:25.224117,ct,0:00:00.862612,correct comission
2023-06-05 18:17:26.045097,ct,,omission error
2023-06-05 18:17:26.537236,,,
2023-06-05 18:17:26.864051,ct,0:00:00.492139,correct comission
2023-06-05 18:17:27.951529,,,
2023-06-05 18:17:27.687424,ct,0:00:01.087478,correct comission
2023-06-05 18:17:28.730394,,,
2023-06-05 18:17:28.507051,ct,0:00:01.042970,correct comission
2023-06-05 18:17:29.497598,,,
2023-06-05 18:17:29.331412,ct,0:00:00.990547,correct comission
2023-06-05 18:17:30.186283,,,
2023-06-05 18:17:30.141806,ct,0:00:00.854871,correct comission
2023-06-05 18:17:31.050630,,,
2023-06-05 18:17:30.960029,ct,0:00:00.908824,correct comission
2023-06-05 18:17:31.865315,,,
2023-06-05 18:17:31.773097,mt,,comission error
2023-06-05 18:17:32.589802,ct,,omission error
2023-06-05 18:17:33.416606,,,
2023-06-05 18:17:33.404898,ct,0:00:00.826804,correct comission
2023-06-05 18:17:34.398829,,,
2023-06-05 18:17:34.221152,ct,0:00:00.993931,correct comission
2023-06-05 18:17:35.078242,,,
2023-06-05 18:17:35.045135,ct,0:00:00.857090,correct comission
2023-06-05 18:17:35.868246,ct,,omission error
2023-06-05 18:17:36.201049,,,
2023-06-05 18:17:36.685589,ct,0:00:00.332803,correct comission
2023-06-05 18:17:37.495642,ct,,omission error
2023-06-05 18:17:38.027920,,,
2023-06-05 18:17:38.314892,mt,,comission error
2023-06-05 18:17:39.125504,ct,,omission error
2023-06-05 18:17:40.124694,,,
