time,tag,tr,flag
2023-06-01 16:58:10.418614,mt,,
2023-06-01 16:58:11.233370,ct,,omission error
2023-06-01 16:58:12.048459,ct,,omission error
2023-06-01 16:58:12.864854,ct,,omission error
2023-06-01 16:58:13.210631,,,
2023-06-01 16:58:13.677099,ct,0:00:00.345777,correct comission
2023-06-01 16:58:14.499974,ct,,omission error
2023-06-01 16:58:15.242567,,,
2023-06-01 16:58:15.322689,ct,0:00:00.742593,correct comission
2023-06-01 16:58:16.300421,,,
2023-06-01 16:58:16.145537,ct,0:00:00.977732,correct comission
2023-06-01 16:58:17.126741,,,
2023-06-01 16:58:16.955784,ct,0:00:00.981204,correct comission
2023-06-01 16:58:17.775473,ct,,omission error
2023-06-01 16:58:18.589024,ct,,omission error
2023-06-01 16:58:19.112139,,,
2023-06-01 16:58:19.404132,mt,,comission error
2023-06-01 16:58:20.240128,,,
2023-06-01 16:58:20.217576,ct,0:00:00.835996,correct comission
2023-06-01 16:58:21.032974,ct,,omission error
2023-06-01 16:58:21.742570,,,
2023-06-01 16:58:21.853409,ct,0:00:00.709596,correct comission
2023-06-01 16:58:22.666105,,,
2023-06-01 16:58:22.668122,ct,0:00:00.812696,correct comission
2023-06-01 16:58:23.533959,,,
2023-06-01 16:58:23.489015,ct,0:00:00.865837,correct comission
2023-06-01 16:58:24.268772,,,
2023-06-01 16:58:24.313124,ct,0:00:00.779757,correct comission
2023-06-01 16:58:25.181808,,,
2023-06-01 16:58:25.126696,ct,0:00:00.868684,correct comission
2023-06-01 16:58:26.094072,,,
2023-06-01 16:58:25.947911,ct,0:00:00.967376,correct comission
2023-06-01 16:58:26.871678,,,
2023-06-01 16:58:26.761591,ct,0:00:00.923767,correct comission
2023-06-01 16:58:27.578005,,,
2023-06-01 16:58:27.579902,ct,0:00:00.816414,correct comission
2023-06-01 16:58:28.590392,,,
2023-06-01 16:58:28.399523,ct,0:00:01.010490,correct comission
2023-06-01 16:58:29.223954,,,
2023-06-01 16:58:29.222601,mt,,comission error
2023-06-01 16:58:30.035155,ct,,omission error
2023-06-01 16:58:31.038208,,,
2023-06-01 16:58:30.859613,ct,0:00:01.003053,correct comission
2023-06-01 16:58:31.933672,,,
2023-06-01 16:58:31.677025,ct,0:00:01.074059,correct comission
2023-06-01 16:58:32.492791,,,
2023-06-01 16:58:32.497870,ct,0:00:00.815766,correct comission
2023-06-01 16:58:33.309845,,,
2023-06-01 16:58:33.313261,ct,0:00:00.811975,correct comission
2023-06-01 16:58:34.127931,ct,,omission error
2023-06-01 16:58:35.096953,,,
2023-06-01 16:58:34.941831,ct,0:00:00.969022,correct comission
2023-06-01 16:58:35.965985,,,
2023-06-01 16:58:35.749270,ct,0:00:01.024154,correct comission
2023-06-01 16:58:36.753519,,,
2023-06-01 16:58:36.565495,ct,0:00:01.004249,correct comission
